,count,mean,std,min,25%,50%,75%,max
Inc,1783.0,0.0020987629727906103,0.0001490187947537497,0.0017147818687556018,0.001990010948962907,0.002097362155530233,0.002201443110780829,0.0026321987614233646
PrevA,1783.0,0.0009344110952618014,1.713459921484494e-17,0.0009344110952618011,0.0009344110952618012,0.0009344110952618012,0.0009344110952618012,0.0009344110952618013
PrevS,1783.0,0.000311470365087267,4.716934853568359e-18,0.0003114703650872669,0.000311470365087267,0.000311470365087267,0.000311470365087267,0.0003114703650872671
PrevC,1783.0,0.000311470365087267,4.9895422952211325e-18,0.0003114703650872662,0.00031147036508726695,0.000311470365087267,0.00031147036508726706,0.0003114703650872676
MorUt,1783.0,0.00016381836845799267,5.249434125725331e-05,6.555687112415006e-05,0.00012310729732809372,0.000158981951556857,0.0001978173065823894,0.00030505419354341786
DelayPat,1783.0,0.1646293826757384,0.009587225270010234,0.13675511839076776,0.15759036859146128,0.1647150772428407,0.1717774936299033,0.18929195397292328
DelaySys,1783.0,0.17083268122028697,0.009416606412422751,0.14348754508083594,0.1641083124356128,0.17073450906425722,0.17788943086751627,0.19503908790951158
DelayTot,1783.0,0.3354620638960254,0.01883551035650459,0.280662616950583,0.3217688542139219,0.3358977843991521,0.3494410992781125,0.38433104188243483
DropDieA,1783.0,0.03251828072644479,0.019790471664633418,2.1978756723364863e-05,0.01601998349984802,0.03204724839543844,0.047073429655255065,0.0854444891803554
DropDieS,1783.0,0.02169323558018517,0.004100225931520144,0.013408921684631932,0.01830800351838155,0.021577099958814874,0.024875031961145676,0.03304807055873462
DropDieC,1783.0,0.021221058739584686,0.003999376752497986,0.013245164952779696,0.017924666154074877,0.021149731340602503,0.02432604944669311,0.03223770855786327
DropDieT,1783.0,0.01875576636911333,0.0012780732377895402,0.01572061963571331,0.017802251926331808,0.018723668906112215,0.019627189877473836,0.022704541361735928
DropSelfCureA,1783.0,0.08642314044086918,0.02205334893054839,0.041779231790792244,0.06733091143242989,0.0869160822160125,0.10442844536673937,0.13672831525547058
DropSelfCureS,1783.0,0.028592849493375355,0.007297850261054036,0.013829978036562298,0.02227163656226535,0.028751535865390736,0.034547067405007764,0.045210851545756464
DropSelfCureC,1783.0,0.027971823752111692,0.007135163580708036,0.013630146539043386,0.02177439253681871,0.028104121964269497,0.03383628897704246,0.04395776011180241
DropLTFU,1783.0,0.1759984851277808,0.024195541985894627,0.1280292730648457,0.15786398598211204,0.17269774990207293,0.1906630889740124,0.275688910549346
p_a2die,1783.0,0.03251828072644479,0.019790471664633418,2.1978756723364863e-05,0.01601998349984802,0.03204724839543844,0.047073429655255065,0.0854444891803554
p_a2sc,1783.0,0.08642314044086918,0.02205334893054839,0.041779231790792244,0.06733091143242989,0.0869160822160125,0.10442844536673937,0.13672831525547058
p_a2s,1783.0,0.881058578832686,0.027936447861870883,0.8094375390679202,0.860889561023371,0.8803820683316355,0.901070089632528,0.9513434377812611
p_s2die,1783.0,0.02464499740251508,0.004705028468905347,0.015073384550152245,0.020667530545709013,0.02451548828707885,0.028379259209860494,0.03628749239998737
p_s2sc,1783.0,0.03267136181008773,0.009042140667397988,0.01539801829142727,0.02481525444569905,0.032711039555847046,0.04007547978914864,0.05248248626439384
p_s2e,1783.0,0.3900115757039962,0.11885216469415075,0.05135472578871492,0.3105839963245174,0.3976359379945381,0.4771850327151866,0.6572171317226916
p_s2tu,1783.0,0.4699365406734125,0.11143683717822805,0.2447406417892072,0.3839892278756175,0.46058086536736276,0.5467386942405188,0.7826235829570511
p_s2ti,1783.0,0.08273552440998852,0.023141395318469732,0.019125811138282503,0.06584545258013347,0.08490221985777271,0.10065601450974461,0.13101877198256054
p_c2die,1783.0,0.0711517078640547,0.03904025132273354,0.02629548139644328,0.04792325838565343,0.061976236600735986,0.08155544804406474,0.42425034393200434
p_c2sc,1783.0,0.09450353023456566,0.05574087449098847,0.027446941220361648,0.059738773107801846,0.08162878026777642,0.11270519004140729,0.5487635658029537
p_c2tu,1783.0,0.7053075983331779,0.0741749433814147,0.03427433199455186,0.6805621107962749,0.7115986972129487,0.7447433999821911,0.8577003769377939
p_c2ti,1783.0,0.1290371635682017,0.04419162210207629,0.003819691512420818,0.09516958262598749,0.12475418625901649,0.16039719028579824,0.2884097742825253
p_tu2txs,1783.0,0.8251276010993324,2.8096522630486126e-14,0.8251276010993326,0.8251276010993326,0.8251276010993326,0.8251276010993326,0.8251276010993326
p_tu2txl,1783.0,0.15280722418531603,2.693046141459638e-15,0.15280722418531606,0.15280722418531606,0.15280722418531606,0.15280722418531606,0.15280722418531606
p_tu2txd,1783.0,0.02206517471535139,2.706927822601183e-16,0.022065174715351386,0.022065174715351386,0.022065174715351386,0.022065174715351386,0.022065174715351386
p_ti2txs,1783.0,0.33975560599197624,0.10201570927150261,0.0037895348866321464,0.2910855124527468,0.3725835459620885,0.4169581093786173,0.4591103208014584
p_ti2txl,1783.0,0.6248740680736353,0.1026224778658753,0.5003387831379713,0.546607744162831,0.592657665240398,0.6742330793666474,0.9733378222144268
p_ti2txd,1783.0,0.035370325934388366,0.006386802066856513,0.022146554604391175,0.03057747053553199,0.03666128117000392,0.04087436922261483,0.04412210323360815
CasOnset,1783.0,0.881058578832686,0.027936447861870883,0.8094375390679202,0.860889561023371,0.8803820683316355,0.901070089632528,0.9513434377812611
CasCSI,1783.0,0.8307724937591254,0.033539482847923796,0.7442673533409138,0.8055516702323335,0.8295214130696169,0.8549447720979075,0.9181792642277751
CasTxI,1783.0,0.781579611267429,0.03964780235076693,0.677301999113119,0.7517952204914282,0.7804834517782946,0.8108720662149107,0.8872213435862727
CasTxS,1783.0,0.5868253597705351,0.03236978368258938,0.48902946015288534,0.5625095474540763,0.5848786462030761,0.6104226086161957,0.6781164251482262
CDR,1783.0,0.781579611267429,0.03964780235076693,0.677301999113119,0.7517952204914282,0.7804834517782946,0.8108720662149107,0.8872213435862727
