"","pub","eng","pri","All"
"pub","1.2 (0.4 - 2.3)","1.4 (0.3 - 4.2)","1.4 (0.5 - 3.5)","1.3 (0.4 - 2.6)"
"eng","1.3 (0.4 - 2.6)","0.0 (0.0 - 1.2)","1.3 (0.5 - 2.2)","1.0 (0.2 - 2.2)"
"pri","3.5 (1.9 - 6.1)","2.7 (1.4 - 4.4)","2.2 (0.5 - 4.2)","2.8 (1.2 - 5.1)"
"All","2.3 (1.0 - 4.7)","1.8 (0.2 - 3.7)","1.8 (0.5 - 4.0)","2.1 (0.7 - 4.2)"
