,count,mean,std,min,25%,50%,75%,max
Inc,1941.0,0.0033047476078762045,0.00037406762807202625,0.002343568138642737,0.0030401841344276795,0.0032961681840673056,0.0035616999250337456,0.004714793395716984
PrevA,1941.0,0.003125031902334601,1.4488699035282354e-16,0.0031250319023345997,0.0031250319023346,0.0031250319023346,0.0031250319023346,0.0031250319023346006
PrevS,1941.0,0.0009375095707003948,3.676600117630404e-17,0.0009375095707003948,0.000937509570700395,0.000937509570700395,0.000937509570700395,0.0009375095707003953
PrevC,1941.0,0.0006250063804669299,9.328258443330377e-18,0.0006250063804669293,0.0006250063804669299,0.00062500638046693,0.0006250063804669301,0.0006250063804669306
MorUt,1941.0,0.0004673641712906027,0.00016469550235998265,0.0001602064163982041,0.0003323060275821111,0.00045108486145991515,0.0005834271434836687,0.0009251158535156936
DelayPat,1941.0,0.3590599822124112,0.02998074997473305,0.259868416476975,0.3389895614798279,0.3590123060272321,0.3785539434208372,0.47012626608701047
DelaySys,1941.0,0.26802926120227255,0.0227952790668519,0.19333150178521558,0.252127395030914,0.26888697878564405,0.2834236190320837,0.33958985640591305
DelayTot,1941.0,0.6270892434146838,0.052258949441175095,0.4531999182621906,0.5913026073085682,0.6280180285719672,0.6611994605648053,0.8097161224929235
DropDieA,1941.0,0.06642507758675238,0.039674876305232684,2.3468508590101057e-05,0.03309369206383611,0.06578930996677626,0.09696814542372793,0.18563417656010772
DropDieS,1941.0,0.04040722831546118,0.008038457836853037,0.022654057371553266,0.03397236259267592,0.03995816636442506,0.04589157953607044,0.06959177898590162
DropDieC,1941.0,0.02638230198027263,0.005247795151699211,0.014889523374802822,0.022172279338130218,0.026053416989189667,0.029949572163562244,0.04528453732912379
DropDieT,1941.0,0.015493923648485517,0.0018660106304495135,0.010644424620473514,0.014112112517834244,0.015366632162293437,0.016769723252584665,0.021836631856501202
DropSelfCureA,1941.0,0.1798201465328729,0.041092746709339094,0.09169705044144637,0.14583765815231517,0.18183736116350582,0.21352084998127355,0.27836211547492734
DropSelfCureS,1941.0,0.05306896688572222,0.0121367659867475,0.027064500803384146,0.0429910215704572,0.05371203205786691,0.06302706657655217,0.08202443915061126
DropSelfCureC,1941.0,0.03465049263772634,0.007929141432247738,0.017761881853699625,0.028053529388468643,0.035136137938507665,0.04113579411146831,0.05354314782096423
DropLTFU,1941.0,0.2249029573063888,0.03362829061333381,0.14233525410503678,0.2017803180797756,0.22165503926267746,0.24374158496166368,0.39556691985346715
p_a2die,1941.0,0.06642507758675238,0.039674876305232684,2.3468508590101057e-05,0.03309369206383611,0.06578930996677626,0.09696814542372793,0.18563417656010772
p_a2sc,1941.0,0.1798201465328729,0.041092746709339094,0.09169705044144637,0.14583765815231517,0.18183736116350582,0.21352084998127355,0.27836211547492734
p_a2s,1941.0,0.7537547758803748,0.04767852884026918,0.6241637268390502,0.7196708297861285,0.7512585520585892,0.7864362662536765,0.8885950356779854
p_s2die,1941.0,0.05365845036088939,0.010291280628699028,0.029533659658926403,0.045400676900966885,0.05326179984807365,0.06155766518573194,0.08379162433318828
p_s2sc,1941.0,0.07130360301776444,0.019165643820910887,0.03352591434866225,0.05515890504387718,0.07145095672035845,0.08695741186973538,0.11897137915292401
p_s2e,1941.0,0.5259804062873878,0.07889873611852036,0.3077765957768405,0.4714563751277983,0.5282845166782913,0.5824918669436924,0.7412946716597149
p_s2tu,1941.0,0.20364979360290464,0.044325947860423834,0.09630153269691374,0.1728322634024615,0.20302191620728985,0.23563634266942463,0.3281227204369084
p_s2ti,1941.0,0.14540774673105364,0.04397034297332401,0.05041850159775921,0.11202601860455762,0.14058933773812948,0.17490484235443854,0.283256758706535
p_c2die,1941.0,0.06799419470978674,0.016009309869820687,0.033187368477282056,0.05584838797725431,0.06661493494421544,0.07857635035274564,0.13329828664371
p_c2sc,1941.0,0.09078059031443497,0.028832332568589147,0.03495125785339893,0.06800956555865771,0.0888209017105028,0.11125613954449558,0.1846887770830716
p_c2tu,1941.0,0.4942595227136748,0.04608385632382496,0.3559464218568233,0.46244171063525613,0.49570663413157007,0.5258858389425065,0.658299201329209
p_c2ti,1941.0,0.34696569226210344,0.04707201767177195,0.2140437203675219,0.3136665942041356,0.3449836142308643,0.37886583050744443,0.4979189879921044
p_tu2txs,1941.0,0.7511878711453424,1.8545502432853055e-14,0.7511878711453427,0.7511878711453427,0.7511878711453427,0.7511878711453427,0.7511878711453427
p_tu2txl,1941.0,0.22915507642348795,7.579224796660006e-15,0.22915507642348798,0.22915507642348798,0.22915507642348798,0.22915507642348798,0.22915507642348798
p_tu2txd,1941.0,0.019657052431169338,9.19640371389607e-16,0.01965705243116934,0.01965705243116934,0.01965705243116934,0.01965705243116934,0.01965705243116934
p_ti2txs,1941.0,0.3791260100747989,0.09876615833166336,0.0014519293622705842,0.3405742122934989,0.41032363145995887,0.4506667312318399,0.48837050186183734
p_ti2txl,1941.0,0.5861167996749779,0.09673522576019498,0.47288927132111674,0.516426752760854,0.5560092969863372,0.6246385478962785,0.9532403638679088
p_ti2txd,1941.0,0.034757190250223224,0.0034344168019864027,0.02874179133802617,0.03188104469517014,0.0347595771172879,0.03743577890418519,0.045307706769820454
