"","pub","eng","pri","All"
"pub","0.8 (0.0 - 2.2)","2.0 (0.8 - 2.9)","1.9 (0.9 - 4.2)","1.2 (0.4 - 2.7)"
"eng","1.7 (0.9 - 3.0)","0.1 (0.0 - 1.9)","1.6 (0.6 - 3.5)","1.4 (0.4 - 2.9)"
"pri","3.9 (2.1 - 7.0)","3.1 (1.4 - 5.6)","2.4 (0.4 - 5.9)","3.3 (1.5 - 6.5)"
"All","2.7 (1.2 - 5.4)","1.9 (0.2 - 4.0)","2.1 (0.5 - 4.9)","2.3 (0.8 - 5.0)"
