Location,DelayPatient_mo,DelaySystem_mo,DelayTotal_mo
India,2.3 (2.1-2.5),1.3 (1.2-1.4),3.6 (3.3-3.9)
Andhra Pradesh,3.7 (2.6-5.8),2.2 (1.5-3.5),6.0 (4.1-9.4)
Arunachal Pradesh,2.2 (1.5-3.1),1.0 (0.7-1.5),3.2 (2.2-4.6)
Assam,2.3 (1.5-3.4),1.0 (0.7-1.6),3.3 (2.2-5.1)
Bihar,1.6 (1.1-2.2),0.4 (0.3-0.7),2.0 (1.4-2.9)
Chandigarh,0.5 (0.3-0.8),0.4 (0.2-0.5),0.9 (0.5-1.3)
Chhattisgarh,1.5 (1.0-2.5),0.7 (0.4-1.1),2.2 (1.4-3.6)
Delhi,2.0 (1.4-2.9),0.9 (0.6-1.3),2.8 (2.0-4.2)
Gujarat,0.6 (0.4-0.8),0.6 (0.3-0.8),1.1 (0.7-1.7)
Haryana,4.6 (2.8-8.1),0.6 (0.4-1.2),5.2 (3.2-9.3)
Himachal Pradesh,1.7 (1.1-2.9),1.1 (0.7-1.9),2.8 (1.8-4.9)
Jammu & Kashmir,2.0 (1.2-3.3),1.3 (0.8-2.2),3.3 (2.0-5.5)
Jharkhand,1.5 (1.0-2.3),0.5 (0.3-0.7),1.9 (1.3-3.0)
Karnataka,4.3 (2.8-6.3),4.3 (2.7-6.5),8.6 (5.5-12.8)
Kerala,0.9 (0.4-1.8),1.1 (0.5-2.2),2.1 (0.9-4.0)
Madhya Pradesh,2.3 (1.5-3.3),0.7 (0.4-0.9),3.0 (1.9-4.3)
Maharashtra,1.6 (1.2-2.1),1.4 (1.0-1.9),3.0 (2.3-4.0)
Manipur,2.4 (1.4-3.8),1.1 (0.6-1.8),3.5 (2.0-5.6)
Meghalaya,2.2 (1.5-3.3),1.0 (0.7-1.6),3.3 (2.2-4.9)
Nagaland,2.0 (1.4-3.1),0.9 (0.6-1.5),3.0 (2.0-4.6)
Odisha,3.1 (1.8-4.5),1.3 (0.7-2.0),4.4 (2.5-6.4)
Punjab,0.6 (0.4-0.9),0.4 (0.2-0.6),1.0 (0.6-1.6)
Rajasthan,3.1 (2.2-4.3),1.6 (1.1-2.4),4.7 (3.3-6.6)
Tamil Nadu,6.5 (4.9-9.2),3.3 (2.4-4.7),9.8 (7.3-13.8)
Telangana,3.4 (2.2-5.3),3.2 (2.1-5.2),6.6 (4.3-10.5)
Uttar Pradesh,2.6 (2.2-3.1),1.5 (1.2-1.7),4.1 (3.4-4.9)
Uttarakhand,1.7 (1.1-2.7),1.1 (0.7-1.8),2.7 (1.7-4.5)
West Bengal,1.6 (1.0-3.0),0.7 (0.5-1.4),2.3 (1.5-4.4)
