,count,mean,std,min,25%,50%,75%,max
Inc,1823.0,0.0018901071549666895,0.000191049754629374,0.0013316701072923476,0.001759612432464122,0.0018792937945104214,0.002015112366624423,0.002467355522019891
PrevA,1823.0,0.0008887839779225579,1.8219945422105654e-17,0.000888783977922558,0.0008887839779225581,0.0008887839779225581,0.0008887839779225581,0.0008887839779225582
PrevS,1823.0,0.0006665879834419186,7.60644037472192e-19,0.0006665879834419183,0.0006665879834419186,0.0006665879834419186,0.0006665879834419186,0.0006665879834419188
PrevC,1823.0,0.00038884299034111925,1.4264725992806917e-17,0.00038884299034111855,0.0003888429903411191,0.0003888429903411192,0.0003888429903411193,0.00038884299034112
MorUt,1823.0,0.00022325130153807358,5.9901868313924385e-05,0.00010675793977360232,0.00017795332031555442,0.0002176521093507609,0.00026429668420809054,0.0003852476471691684
DelayPat,1823.0,0.3913564033176248,0.03647118163014485,0.2929253139703842,0.3665266777671861,0.38984303944409304,0.41296987713314665,0.5284674746140254
DelaySys,1823.0,0.2566428667712796,0.024325791763022433,0.19108835144929345,0.2405158408697834,0.2550916246486003,0.2713937882395787,0.3380137965805534
DelayTot,1823.0,0.6479992700889045,0.060187204653573925,0.4840136654196776,0.6086189372772204,0.644845336541015,0.6851582022399221,0.8648687239299782
DropDieA,1823.0,0.033681645235381634,0.02105008800747904,8.655054444120471e-05,0.015605087623608044,0.032353202562177066,0.04906917977636995,0.09527464433376626
DropDieS,1823.0,0.050971057424236056,0.010187772537717823,0.02938084137360661,0.0427518292719517,0.05073034736020619,0.05880833336929876,0.08321074908951442
DropDieC,1823.0,0.028871905270783767,0.0057338034506175545,0.01678535053153339,0.02418348402352126,0.028736663499275148,0.03329099438337888,0.047321550608165834
DropDieT,1823.0,0.054267610667373886,0.006568304779814232,0.035209764613284206,0.05003592467118211,0.05444038045553483,0.05858855823822291,0.07132315216902811
DropSelfCureA,1823.0,0.09119796381662956,0.022787887733755816,0.041139454468729623,0.0725031725943448,0.09162149501069045,0.10931897848926606,0.14743322449232915
DropSelfCureS,1823.0,0.06718478658457674,0.01679227899814712,0.03040894998543221,0.053386960306055206,0.06753738968092893,0.08060951345000615,0.1082191925583518
DropSelfCureC,1823.0,0.038057308887656204,0.009479147607249624,0.01742124584876161,0.03030176002811518,0.03836261698287787,0.04561698691232409,0.061653636843703036
