State,Region,Year,Index,Observed
Bihar,Eastern,2020,CNR_Eng,3.8965557039455243e-4
Bihar,Eastern,2020,CNR_Acf,5.77072101037081e-8
Bihar,Eastern,2021,CNR_Pub,4.757358855406514e-4
Bihar,Eastern,2021,CNR_Eng,5.706393246833438e-4
Bihar,Eastern,2021,CNR_Acf,2.3658831845177643e-5
Chandigarh,Northern,2018,CNR_Pub,0.00459656652360515
Chandigarh,Northern,2018,CNR_Eng,2.8755364806866955e-4
Chandigarh,Northern,2018,CNR_Acf,5.150214592274678e-6
Chandigarh,Northern,2019,CNR_Pub,NA
Chandigarh,Northern,2019,CNR_Eng,4.60559796437659e-4
Chandigarh,Northern,2019,CNR_Acf,NA
Chandigarh,Northern,2020,CNR_Pub,0.0022355406538139143
Chandigarh,Northern,2020,CNR_Eng,2.3386420787929589e-4
Chandigarh,Northern,2020,CNR_Acf,3.0176026823134954e-5
Chandigarh,Northern,2021,CNR_Pub,0.003463576158940397
Chandigarh,Northern,2021,CNR_Eng,4.139072847682119e-4
Chandigarh,Northern,2021,CNR_Acf,2.9801324503311258e-5
Chhattisgarh,Central,2018,CNR_Pub,0.0010279816513761469
Chhattisgarh,Central,2018,CNR_Eng,4.556104446012703e-4
Chhattisgarh,Central,2018,CNR_Acf,3.479181369089626e-5
Chhattisgarh,Central,2019,CNR_Pub,0.0010805249965185908
Chhattisgarh,Central,2019,CNR_Eng,4.1679431834006406e-4
Chhattisgarh,Central,2019,CNR_Acf,2.4683191756022838e-5
Chhattisgarh,Central,2020,CNR_Pub,7.581160465835308e-4
Chhattisgarh,Central,2020,CNR_Eng,2.489951561372771e-4
Chhattisgarh,Central,2020,CNR_Acf,5.840118176508984e-6
Chhattisgarh,Central,2021,CNR_Pub,7.236971484759096e-4
Chhattisgarh,Central,2021,CNR_Eng,2.974265079849456e-4
Chhattisgarh,Central,2021,CNR_Acf,7.79846065168006e-5
Delhi,Northern,2018,CNR_Pub,0.003970156933367636
Delhi,Northern,2018,CNR_Eng,8.440957036274762e-4
Delhi,Northern,2018,CNR_Acf,7.718034473887317e-7
Delhi,Northern,2019,CNR_Pub,0.0040068638336529724
Delhi,Northern,2019,CNR_Eng,0.0014193499545775714
Delhi,Northern,2019,CNR_Acf,2.3569193499545777e-5
Delhi,Northern,2020,CNR_Pub,0.0028655969890556132
Delhi,Northern,2020,CNR_Eng,9.13237260436785e-4
Delhi,Northern,2020,CNR_Acf,1.4856633486851879e-6
Delhi,Northern,2021,CNR_Pub,0.003231247873219581
Delhi,Northern,2021,CNR_Eng,0.001716591317874678
Delhi,Northern,2021,CNR_Acf,6.105682757279666e-5
Gujarat,Western,2018,CNR_Pub,0.0015265930458140575
