State,StateGroup,Region,AmpAll,P1,P0,N_TB0,N_TB1,N_TB2,N_Asym,N_NotAware,N_NotCS,N_NotDet,N_OnATT1,N_OnATT2,N_Pub,N_Pri,N_ATT_Pub,N_ATT_Pri,N_TB_Pub,N_TB_Pri,NotAware0,NotCS0,NotDet0,Pop,N,Pr_Pub_CSI,Pr_Pub_CSI0,Pr_Pub_CSI1
Maharashtra,Maharashtra,Western,1.220858896,199,163,44,50,83,26,9,0,9,6,39,198,382,10,4,9,6,572,107,566,124140000,30628,0.3413793103448276,0.6,0.7142857142857143
Manipur,North_Eastern_States,Northeastern,0.971631206,274,282,36,45,65,22,6,1,7,9,29,131,22,21,0,16,0,232,69,132,3080000,15975,0.8562091503267973,1,1
Meghalaya,North_Eastern_States,Northeastern,0.971631206,274,282,36,45,65,22,6,1,7,9,29,131,22,21,0,16,0,232,69,132,3590000,15975,0.8562091503267973,1,1
Nagaland,North_Eastern_States,Northeastern,0.971631206,274,282,36,45,65,22,6,1,7,9,29,131,22,21,0,16,0,232,69,132,2070000,15975,0.8562091503267973,1,1
Odisha,Odisha,Eastern,0.972440945,247,254,31,31,38,25,2,0,4,0,7,92,32,1,0,3,1,287,29,123,45840000,12216,0.7419354838709677,0.75,1
Punjab,Punjab,Northern,1.137681159,314,276,21,28,50,17,2,0,2,7,29,51,66,12,3,8,1,143,16,103,29630000,10134,0.4358974358974359,0.8888888888888888,0.8
Rajasthan,Rajasthan,Northern,0.90376569,432,478,57,69,93,28,7,2,20,12,36,179,126,5,19,18,14,546,44,287,78660000,14432,0.5868852459016394,0.5625,0.20833333333333334
Tamil Nadu,Tamil_Nadu,Southern,1.102739726,322,292,66,67,89,27,24,1,14,1,23,265,248,9,4,10,5,1085,114,504,80370000,22956,0.5165692007797271,0.6666666666666666,0.6923076923076923
Telangana,Telangana,Southern,1.116981132,296,265,34,36,51,14,7,2,11,2,17,130,218,5,4,6,7,352,29,339,37220000,13567,0.3735632183908046,0.46153846153846156,0.5555555555555556
Uttar Pradesh,Uttar_Pradesh,Northern,0.891440501,427,479,158,182,246,97,27,5,29,24,88,289,479,40,23,29,23,1268,172,744,228780000,37990,0.3763020833333333,0.5576923076923077,0.6349206349206349
Uttarakhand,HP_UK_JK,Northern,1.235294118,378,306,19,22,34,13,1,0,5,3,15,40,77,4,2,4,4,156,26,111,11470000,7182,0.3418803418803419,0.5,0.6666666666666666
West Bengal,West_Bengal,Eastern,1.005617978,179,178,29,30,51,22,4,0,3,1,22,117,68,11,0,3,1,401,17,176,98960000,16881,0.6324324324324324,0.75,1
