,count,mean,std,min,25%,50%,75%,max
Inc,1724.0,0.001864564854072974,0.00025375383277251003,0.001266952473029543,0.0016795622314814366,0.0018346067909677038,0.0020199203336631276,0.002838514482240849
PrevA,1724.0,0.0011494578830869,3.969282365571353e-17,0.0011494578830868998,0.0011494578830869,0.0011494578830869,0.0011494578830869,0.0011494578830869003
PrevS,1724.0,0.0004310467061576204,1.5888584046908328e-17,0.0004310467061576203,0.0004310467061576205,0.0004310467061576205,0.0004310467061576205,0.0004310467061576206
PrevC,1724.0,9.578815692391566e-05,1.803225538847846e-18,9.57881569239154e-05,9.578815692391563e-05,9.578815692391566e-05,9.578815692391569e-05,9.578815692391593e-05
MorUt,1724.0,0.00016475212211201304,6.203323268373039e-05,5.28890003181436e-05,0.00011549918356827484,0.00015624711500494565,0.00020825045880800889,0.00032727024045170017
DelayPat,1724.0,0.2707184040075909,0.0353100513542757,0.16614310162371876,0.24617109355069347,0.27369667516164686,0.2957715698265411,0.3619582417200678
DelaySys,1724.0,0.0659669443115475,0.009234643791783343,0.03911399710069365,0.05940827035639607,0.06675237132872797,0.07274456903091886,0.08948870737150713
DelayTot,1724.0,0.3366853483191385,0.04446511683227827,0.20525709872441242,0.30561959645887504,0.3407042533836776,0.3684508547970283,0.44981261848792
DropDieA,1724.0,0.04450461855538072,0.027715443250047232,2.339353749604543e-05,0.021373821445291236,0.04280423037585941,0.06484732574673327,0.12543820904200728
DropDieS,1724.0,0.03371139293715107,0.007207427104405138,0.017524577890525403,0.02824295699498719,0.033260044717336026,0.03867309296063393,0.05809705253903335
DropDieC,1724.0,0.007428536735585261,0.001584520171391664,0.0038785858176054113,0.006222554459739691,0.007333495468847821,0.008525484419577213,0.012815731366092476
DropDieT,1724.0,0.019591954645628892,0.0019750209395639103,0.014497391011100636,0.018107259966039506,0.019392163847243505,0.020898259432459276,0.025920589001755673
DropSelfCureA,1724.0,0.11971873136650037,0.03218682705530663,0.04821979758529486,0.0933714334447483,0.11850179511019818,0.14490285626259364,0.20229238088616136
