PID,src,From,To,N,length
1,UC:pub_det,UC,pub_det,20,1
2,UC:pub:pub_det,UC,pub,162,2
2,UC:pub:pub_det,pub,pub_det,162,2
3,UC:pri:pub_det,UC,pri,26,2
3,UC:pri:pub_det,pri,pub_det,26,2
4,UC:pri:pub:pub_det,UC,pri,88,3
4,UC:pri:pub:pub_det,pri,pub,88,3
4,UC:pri:pub:pub_det,pub,pub_det,88,3
5,UC:pub:pub:pub_det,UC,pub,61,3
5,UC:pub:pub:pub_det,pub,pub,61,3
5,UC:pub:pub:pub_det,pub,pub_det,61,3
6,UC:pri:pri:pub_det,UC,pri,5,3
6,UC:pri:pri:pub_det,pri,pri,5,3
6,UC:pri:pri:pub_det,pri,pub_det,5,3
7,UC:pub:pri:pub_det,UC,pub,2,3
7,UC:pub:pri:pub_det,pub,pri,2,3
7,UC:pub:pri:pub_det,pri,pub_det,2,3
8,UC:pri:pub:pub:pub_det,UC,pri,37,4
8,UC:pri:pub:pub:pub_det,pri,pub,37,4
8,UC:pri:pub:pub:pub_det,pub,pub,37,4
8,UC:pri:pub:pub:pub_det,pub,pub_det,37,4
9,UC:pri:pri:pub:pub_det,UC,pri,24,4
9,UC:pri:pri:pub:pub_det,pri,pri,24,4
9,UC:pri:pri:pub:pub_det,pri,pub,24,4
9,UC:pri:pri:pub:pub_det,pub,pub_det,24,4
10,UC:pub:pub:pub:pub_det,UC,pub,5,4
10,UC:pub:pub:pub:pub_det,pub,pub,5,4
10,UC:pub:pub:pub:pub_det,pub,pub,5,4
10,UC:pub:pub:pub:pub_det,pub,pub_det,5,4
11,UC:pri:pri:pri:pub_det,UC,pri,3,4
11,UC:pri:pri:pri:pub_det,pri,pri,3,4
11,UC:pri:pri:pri:pub_det,pri,pri,3,4
11,UC:pri:pri:pri:pub_det,pri,pub_det,3,4
12,UC:pub:pri:pub:pub_det,UC,pub,2,4
12,UC:pub:pri:pub:pub_det,pub,pri,2,4
12,UC:pub:pri:pub:pub_det,pri,pub,2,4
12,UC:pub:pri:pub:pub_det,pub,pub_det,2,4
13,UC:pri:pub:pri:pub_det,UC,pri,1,4
13,UC:pri:pub:pri:pub_det,pri,pub,1,4
13,UC:pri:pub:pri:pub_det,pub,pri,1,4
13,UC:pri:pub:pri:pub_det,pri,pub_det,1,4
14,UC:pri:pri:pub:pub:pub_det,UC,pri,6,5
14,UC:pri:pri:pub:pub:pub_det,pri,pri,6,5
14,UC:pri:pri:pub:pub:pub_det,pri,pub,6,5
14,UC:pri:pri:pub:pub:pub_det,pub,pub,6,5
14,UC:pri:pri:pub:pub:pub_det,pub,pub_det,6,5
15,UC:pri:pri:pri:pub:pub_det,UC,pri,5,5
15,UC:pri:pri:pri:pub:pub_det,pri,pri,5,5
15,UC:pri:pri:pri:pub:pub_det,pri,pri,5,5
15,UC:pri:pri:pri:pub:pub_det,pri,pub,5,5
15,UC:pri:pri:pri:pub:pub_det,pub,pub_det,5,5
16,UC:pub:pub:pub:pub:pub_det,UC,pub,3,5
16,UC:pub:pub:pub:pub:pub_det,pub,pub,3,5
16,UC:pub:pub:pub:pub:pub_det,pub,pub,3,5
16,UC:pub:pub:pub:pub:pub_det,pub,pub,3,5
16,UC:pub:pub:pub:pub:pub_det,pub,pub_det,3,5
17,UC:pri:pub:pub:pub:pub_det,UC,pri,2,5
17,UC:pri:pub:pub:pub:pub_det,pri,pub,2,5
17,UC:pri:pub:pub:pub:pub_det,pub,pub,2,5
17,UC:pri:pub:pub:pub:pub_det,pub,pub,2,5
17,UC:pri:pub:pub:pub:pub_det,pub,pub_det,2,5
18,UC:pri:pri:pri:pub:pub:pub_det,UC,pri,1,6
18,UC:pri:pri:pri:pub:pub:pub_det,pri,pri,1,6
18,UC:pri:pri:pri:pub:pub:pub_det,pri,pri,1,6
18,UC:pri:pri:pri:pub:pub:pub_det,pri,pub,1,6
18,UC:pri:pri:pri:pub:pub:pub_det,pub,pub,1,6
18,UC:pri:pri:pri:pub:pub:pub_det,pub,pub_det,1,6
19,UC:pri:pri:pub:pri:pub:pub_det,UC,pri,1,6
19,UC:pri:pri:pub:pri:pub:pub_det,pri,pri,1,6
19,UC:pri:pri:pub:pri:pub:pub_det,pri,pub,1,6
19,UC:pri:pri:pub:pri:pub:pub_det,pub,pri,1,6
19,UC:pri:pri:pub:pri:pub:pub_det,pri,pub,1,6
19,UC:pri:pri:pub:pri:pub:pub_det,pub,pub_det,1,6
20,UC:pri:pri:pri:pri:pub:pub_det,UC,pri,1,6
20,UC:pri:pri:pri:pri:pub:pub_det,pri,pri,1,6
20,UC:pri:pri:pri:pri:pub:pub_det,pri,pri,1,6
20,UC:pri:pri:pri:pri:pub:pub_det,pri,pri,1,6
20,UC:pri:pri:pri:pri:pub:pub_det,pri,pub,1,6
20,UC:pri:pri:pri:pri:pub:pub_det,pub,pub_det,1,6
