"","pub","eng","pri","All"
"pub","0.9 (0.2 - 1.7)","1.6 (0.8 - 3.2)","1.7 (0.7 - 3.0)","1.1 (0.3 - 2.1)"
"eng","1.0 (0.4 - 1.9)","0.0 (0.0 - 0.6)","1.3 (0.6 - 2.9)","0.8 (0.2 - 1.9)"
"pri","3.3 (1.7 - 5.9)","2.9 (1.2 - 5.3)","2.1 (0.5 - 4.3)","2.8 (1.1 - 5.3)"
"All","2.2 (0.8 - 4.3)","1.7 (0.4 - 4.2)","1.8 (0.5 - 4.0)","2.0 (0.7 - 4.2)"
