"","pub","eng","pri","All"
"pub","1.2 (0.2 - 2.7)","2.3 (0.7 - 2.8)","2.3 (0.7 - 3.3)","1.5 (0.3 - 3.0)"
"eng","1.8 (0.7 - 3.7)","0.0 (0.0 - 2.0)","1.4 (0.6 - 3.4)","1.3 (0.3 - 3.4)"
"pri","4.5 (2.4 - 8.3)","4.2 (1.9 - 7.3)","3.4 (0.8 - 6.2)","4.1 (1.9 - 7.2)"
"All","3.1 (1.3 - 6.2)","2.4 (0.4 - 5.9)","2.7 (0.7 - 5.7)","2.8 (0.9 - 6.0)"
