"","pub","eng","pri","All"
"pub","1.0 (0.2 - 2.3)","1.4 (0.5 - 4.8)","1.9 (1.0 - 5.0)","1.2 (0.3 - 3.1)"
"eng","1.8 (0.6 - 3.4)","0.0 (0.0 - 1.1)","1.7 (0.7 - 3.7)","1.3 (0.3 - 3.1)"
"pri","4.6 (2.5 - 7.9)","3.6 (1.5 - 6.7)","2.4 (0.2 - 5.9)","3.8 (1.4 - 7.2)"
"All","2.9 (1.1 - 5.9)","2.1 (0.3 - 5.0)","2.0 (0.5 - 5.1)","2.5 (0.7 - 5.5)"
