,count,mean,std,min,25%,50%,75%,max
Inc,1990.0,0.0017622665940114303,0.0002698105434134409,0.0011801183113330383,0.0015881705558236404,0.001721043428813006,0.001881774878916477,0.0039529325358899255
PrevA,1990.0,0.0006415457297889199,2.1471898475657674e-17,0.0006415457297889197,0.0006415457297889198,0.0006415457297889198,0.0006415457297889198,0.0006415457297889199
PrevS,1990.0,0.00026245052582273996,3.308322677977596e-18,0.00026245052582273985,0.0002624505258227399,0.0002624505258227399,0.0002624505258227399,0.00026245052582273996
PrevC,1990.0,0.00026245052582273996,3.3104150033415263e-18,0.00026245052582273963,0.00026245052582273985,0.0002624505258227399,0.00026245052582273996,0.0002624505258227401
MorUt,1990.0,0.00012795085209862004,3.7733122636894976e-05,5.517708170570843e-05,9.895658924602222e-05,0.00012310915470340478,0.0001554462719984666,0.00022453125532264292
DelayPat,1990.0,0.16505790756116254,0.022798560871651472,0.06828745137030164,0.15183835683156321,0.16643685592467372,0.17977371393824643,0.23172400341769142
DelaySys,1990.0,0.17326597708536404,0.02492027743809629,0.0690452593214229,0.15831593605353075,0.1751548253302997,0.18957983879775211,0.24299883641402806
DelayTot,1990.0,0.3383238846465266,0.04767729476098088,0.13733271069172454,0.30992207274520567,0.3414104018137318,0.3689581527633471,0.4747228398317195
DropDieA,1990.0,0.027452817401465233,0.01686784906066935,2.4487184731001175e-05,0.013441393348053799,0.02633293110803303,0.039677565130867724,0.08005011077790086
DropDieS,1990.0,0.022279213224412703,0.004974347446794269,0.009345293823361332,0.018487742910482444,0.022032042635816936,0.025991271117770026,0.0371000729920614
DropDieC,1990.0,0.022007118116852596,0.0049067300753879136,0.009255206028613629,0.018263793801844445,0.02174867844732664,0.02569213856067903,0.036554811755489684
DropDieT,1990.0,0.03909183895573479,0.004735304967874341,0.021136955936577263,0.036184346175436546,0.0395578506395657,0.042590957316123335,0.0505887380654936
DropSelfCureA,1990.0,0.07295993570988929,0.02080743963996016,0.027035015946749036,0.05604150270820074,0.07233659735904459,0.08916822862940914,0.1264329780017104
DropSelfCureS,1990.0,0.029620818515636645,0.008438563886929444,0.011025482489237142,0.022757964866979754,0.02937694533872018,0.036189015325783266,0.05121865380034378
DropSelfCureC,1990.0,0.02925993848461063,0.008331424212079457,0.010899201140204293,0.02248685428739073,0.02907013828893861,0.03572405450055401,0.05051074845124625
DropLTFU,1990.0,0.17650515850756923,0.04998321519886019,0.10489974927532347,0.14686728598778367,0.16320088433668656,0.19076047275593144,0.5527976146168155
p_a2die,1990.0,0.027452817401465233,0.01686784906066935,2.4487184731001175e-05,0.013441393348053799,0.02633293110803303,0.039677565130867724,0.08005011077790086
p_a2sc,1990.0,0.07295993570988929,0.02080743963996016,0.027035015946749036,0.05604150270820074,0.07233659735904459,0.08916822862940914,0.1264329780017104
p_a2s,1990.0,0.8995872468886454,0.026319110543784916,0.8094742100017219,0.8801063665067643,0.8998806217355515,0.9182694686559488,0.970482534557581
p_s2die,1990.0,0.024826239483462714,0.005736306397640861,0.009878318413435262,0.020390274005676102,0.024508703064060916,0.02910593668010095,0.041260949488007896
p_s2sc,1990.0,0.033166399488081456,0.010167836880979003,0.011459043780924187,0.02482504567250743,0.03276434862751329,0.04096478210734283,0.05943485937262521
p_s2e,1990.0,0.6163517703491163,0.08739009513334454,0.1907028286870037,0.5692939702335131,0.6239032338698083,0.6778424494676615,0.8088192493450244
p_s2tu,1990.0,0.21329052413148916,0.049255346476913216,0.10001750430735845,0.17846935885731063,0.21198921063274062,0.2449763860434745,0.3974666738260352
p_s2ti,1990.0,0.11236506654785042,0.05960376957841103,0.020157343247955293,0.07301749785080873,0.0985587544582473,0.13692944099882404,0.49817865044207305
p_c2die,1990.0,0.04025271798951119,0.009489892960692234,0.017833129293509435,0.03304642101882216,0.039888411613640144,0.04678879103703418,0.09297168143415234
p_c2sc,1990.0,0.05384141873441944,0.016791343989874936,0.01758358730392887,0.040267811938392045,0.05333225437802119,0.06613404122385161,0.1287429984398063
p_c2tu,1990.0,0.6058574540080984,0.08127893374327667,0.2717684335738888,0.5586999972285238,0.6181785121228356,0.6600226731656132,0.8060765977546939
p_c2ti,1990.0,0.30004840926797094,0.08530828794582791,0.11042130371969609,0.24399725649513584,0.28607790893407914,0.3482579319251034,0.661295929870793
