,count,mean,std,min,25%,50%,75%,max
Inc,1505.0,0.0021123228418524426,0.00014134505566430763,0.0017817236260825322,0.0020068877568327603,0.00210630828328849,0.0022089755667000035,0.002549166437516032
PrevA,1505.0,0.0009344110952618014,1.6375881315430027e-17,0.0009344110952618011,0.0009344110952618012,0.0009344110952618012,0.0009344110952618012,0.0009344110952618013
PrevS,1505.0,0.000311470365087267,4.285057989129924e-18,0.0003114703650872669,0.000311470365087267,0.000311470365087267,0.000311470365087267,0.0003114703650872671
PrevC,1505.0,0.000311470365087267,4.4985749635869186e-18,0.00031147036508726646,0.0003114703650872669,0.000311470365087267,0.0003114703650872671,0.0003114703650872683
MorUt,1505.0,0.00016401281407097933,5.3095034199165756e-05,6.40123239064993e-05,0.00012205995162663118,0.00015775353698352785,0.00020096105467853727,0.00030559766930341077
DelayPat,1505.0,0.16315517826093806,0.00865944882198453,0.13933440055527846,0.15662478681232264,0.16353559688789976,0.16959690197656466,0.18472661016955505
DelaySys,1505.0,0.1690099994910925,0.009223021039062081,0.14429300938430645,0.16224022936102317,0.16964331378667352,0.17626560465104144,0.19138598333292897
DelayTot,1505.0,0.3321651777520305,0.017694093710341946,0.2836274099395849,0.3189498740671618,0.33287801727497107,0.34585856873998044,0.37611259350248405
DropDieA,1505.0,0.03208572968216688,0.02007593001920743,8.789894170777425e-06,0.014517986238776235,0.031588732794730845,0.047019525891302635,0.08779900286866185
DropDieS,1505.0,0.02168363584205898,0.00405618431144175,0.013254585159729404,0.01835735744528323,0.021718422200049846,0.024838753416027502,0.03195339604734199
DropDieC,1505.0,0.021188518481193047,0.003972547374558811,0.012575170982536892,0.01796296488960727,0.021222762902849156,0.024309562328156818,0.03124619958364703
DropDieT,1505.0,0.019789304569735516,0.0012530321639903214,0.016465598306266805,0.018903481690364942,0.019775294198370583,0.02068326828993763,0.02349348191435191
DropSelfCureA,1505.0,0.08494883292395897,0.02183046599222792,0.04088009051321616,0.06617729404109529,0.084768074195153,0.10325001109615371,0.13059640088868457
DropSelfCureS,1505.0,0.028106956640024792,0.007224699941667196,0.013535167860162877,0.021897633438849897,0.02804490236989153,0.03417774513278122,0.043191465309079226
DropSelfCureC,1505.0,0.027465397919186695,0.007070957406700121,0.01327226839235968,0.021438661915019756,0.02742957346171776,0.03346276784855596,0.042537361692874885
DropLTFU,1505.0,0.20821777210993828,0.02716004967069726,0.14904783083261486,0.18659778677716787,0.20607329578701725,0.22545032077432337,0.301417611181507
p_a2die,1505.0,0.03208572968216688,0.02007593001920743,8.789894170777425e-06,0.014517986238776235,0.031588732794730845,0.047019525891302635,0.08779900286866185
p_a2sc,1505.0,0.08494883292395897,0.02183046599222792,0.04088009051321616,0.06617729404109529,0.084768074195153,0.10325001109615371,0.13059640088868457
p_a2s,1505.0,0.8829654373938741,0.027499993661647012,0.8084778227041797,0.8629453410550494,0.8828432759041884,0.9014391517212084,0.9505322977116996
p_s2die,1505.0,0.024580548160044246,0.00464602688203013,0.015148433598238914,0.020708816637702084,0.024715972096464953,0.028348747360800796,0.03530316561514748
p_s2sc,1505.0,0.032039330654566794,0.008906067851352307,0.014943097588809238,0.02443907895097519,0.03180780557469777,0.03964396322507998,0.05147759378324767
p_s2e,1505.0,0.3694020269197497,0.12577658316397766,0.0545987836065342,0.2805214339420304,0.36647348545227665,0.4570796524762823,0.6715459844158335
p_s2tu,1505.0,0.4910919821709815,0.10663849904505386,0.23684950522606654,0.4163663695200514,0.4893773437880387,0.5660235852662635,0.7511998709017528
p_s2ti,1505.0,0.08288611209465777,0.03395913080145236,0.01949051103847691,0.054858629365688,0.07799044452768653,0.10685135986806096,0.17129333760109697
p_c2die,1505.0,0.076000096640086,0.04124693424678674,0.0261014027436462,0.050536659926116896,0.06592552182764738,0.08642253942254442,0.43158054983106825
p_c2sc,1505.0,0.09934010817232627,0.059934938735928964,0.027238192227447132,0.06219500181551192,0.0842103878015359,0.11803735630725552,0.6341477127806658
p_c2tu,1505.0,0.7070977629147835,0.09073580133326165,0.0764907775800379,0.67092447852032,0.7225628338238577,0.7654009126095644,0.8539110848789344
