Location,DelayPatient_mo,DelaySystem_mo,DelayTotal_mo
India,2.0 (1.8-2.1),1.1 (1.0-1.2),3.1 (2.9-3.3)
Andhra Pradesh,3.1 (1.8-4.4),1.8 (1.0-2.6),5.0 (2.9-7.1)
Arunachal Pradesh,2.0 (1.2-3.2),0.9 (0.5-1.5),3.0 (1.7-4.7)
Assam,1.9 (1.3-2.9),0.9 (0.6-1.4),2.8 (2.0-4.3)
Bihar,1.3 (0.8-1.7),0.4 (0.2-0.5),1.6 (1.1-2.1)
Chandigarh,0.5 (0.2-0.7),0.3 (0.2-0.5),0.8 (0.4-1.2)
Chhattisgarh,1.2 (0.7-2.1),0.5 (0.3-0.9),1.7 (1.1-3.0)
Delhi,1.8 (1.2-2.6),0.8 (0.5-1.2),2.6 (1.7-3.7)
Gujarat,0.5 (0.3-0.8),0.5 (0.3-0.7),1.0 (0.6-1.5)
Haryana,4.5 (2.1-7.6),0.6 (0.3-1.1),5.1 (2.4-8.7)
Himachal Pradesh,1.5 (0.9-2.6),0.9 (0.5-1.7),2.4 (1.4-4.3)
Jammu & Kashmir,1.6 (1.0-2.9),1.0 (0.6-1.9),2.6 (1.6-4.7)
Jharkhand,1.2 (0.8-1.9),0.4 (0.3-0.6),1.6 (1.1-2.5)
Karnataka,3.8 (2.6-6.0),3.8 (2.5-6.0),7.6 (5.0-11.9)
Kerala,0.9 (0.4-1.9),1.0 (0.5-2.3),1.9 (1.0-4.1)
Madhya Pradesh,2.0 (1.5-2.9),0.6 (0.4-0.9),2.6 (1.9-3.8)
Maharashtra,1.4 (1.0-1.8),1.2 (0.8-1.5),2.5 (1.8-3.3)
Manipur,2.1 (1.3-3.3),0.9 (0.6-1.6),3.0 (1.8-4.9)
Meghalaya,1.9 (1.2-3.1),0.9 (0.5-1.5),2.8 (1.7-4.5)
Nagaland,1.9 (1.1-3.0),0.9 (0.5-1.4),2.7 (1.6-4.4)
Odisha,2.8 (1.8-3.9),1.2 (0.7-1.7),4.0 (2.5-5.6)
Punjab,0.5 (0.3-0.8),0.3 (0.2-0.5),0.8 (0.5-1.3)
Rajasthan,2.8 (1.9-4.1),1.5 (1.0-2.2),4.3 (2.9-6.4)
Tamil Nadu,5.6 (4.1-8.0),2.7 (1.9-4.2),8.4 (6.1-12.2)
Telangana,3.3 (2.2-4.9),3.2 (2.1-4.9),6.6 (4.3-9.8)
Uttar Pradesh,2.4 (2.0-3.0),1.3 (1.1-1.6),3.7 (3.0-4.6)
Uttarakhand,1.4 (0.8-2.4),0.9 (0.5-1.5),2.4 (1.3-3.9)
West Bengal,1.3 (0.7-2.1),0.6 (0.3-0.9),1.9 (1.0-3.0)
