,count,mean,std,min,25%,50%,75%,max
Inc,1319.0,0.0014032505661173771,0.00013690487677494673,0.0010061898738225176,0.0013118632535642255,0.0014002181410958665,0.001497528706731385,0.0018131461514232026
PrevA,1319.0,0.0009151920899280709,1.5838403492853303e-17,0.0009151920899280705,0.0009151920899280706,0.0009151920899280706,0.0009151920899280706,0.0009151920899280707
PrevS,1319.0,0.00017432230284344198,1.5989913181430115e-18,0.00017432230284344195,0.000174322302843442,0.000174322302843442,0.000174322302843442,0.00017432230284344206
PrevC,1319.0,0.00013074172713258152,2.4956502101205357e-18,0.00013074172713258133,0.00013074172713258147,0.0001307417271325815,0.00013074172713258152,0.00013074172713258166
MorUt,1319.0,0.00011439073820830875,4.6498622496768495e-05,3.17905348146416e-05,7.737414371526513e-05,0.00010903890267009146,0.00014396308060147937,0.0002381888971942442
DelayPat,1319.0,0.1460872440558393,0.013042933714323017,0.11451810225016966,0.1365328098949653,0.14469038619010505,0.15431270807138975,0.19644733407403797
DelaySys,1319.0,0.11414956300191495,0.01026807197447628,0.08915428194886292,0.10674140662647272,0.11324554212762272,0.1208012037546061,0.15368923840576848
DelayTot,1319.0,0.26023680705775426,0.023275444777495515,0.20367238419903258,0.2433085334416482,0.2580037216127623,0.274812653822069,0.35013657247980645
DropDieA,1319.0,0.04686124706222368,0.028251133370156056,4.7079151052690675e-05,0.02406691830645416,0.04583674000392224,0.065944721114194,0.1294875731011774
DropDieS,1319.0,0.01807648577146252,0.003669169216542005,0.009897507078467472,0.015111387738446596,0.01789116843938033,0.02079053485601357,0.02875945776708742
DropDieC,1319.0,0.013405535123102,0.002712934112485176,0.007367847253635673,0.01119560063430754,0.013293397049010341,0.015410747854545402,0.02125034698472017
DropDieT,1319.0,0.047030901007578584,0.005706475870527143,0.030221848062304595,0.04301714912878762,0.04728113187986119,0.051148691076524214,0.062107320509331806
DropSelfCureA,1319.0,0.1247386687574985,0.03242450630446249,0.063210974493142,0.09730216156917745,0.1254731202942633,0.1513575834483889,0.2040176239987903
DropSelfCureS,1319.0,0.023601790283113808,0.006133505724314697,0.011967271464649671,0.01841448714132685,0.023759069274561038,0.028645039412663387,0.03854985922616213
DropSelfCureC,1319.0,0.017502685731836182,0.00453875440997648,0.00889301554364743,0.013639589406505762,0.017619003417011277,0.02126403037140224,0.028494498111080784
DropLTFU,1319.0,0.15180036186078583,0.030441206345484043,0.09349980636216591,0.1316447285939642,0.14542667854843486,0.16405969457710212,0.3267809800105585
p_a2die,1319.0,0.04686124706222368,0.028251133370156056,4.7079151052690675e-05,0.02406691830645416,0.04583674000392224,0.065944721114194,0.1294875731011774
p_a2sc,1319.0,0.1247386687574985,0.03242450630446249,0.063210974493142,0.09730216156917745,0.1254731202942633,0.1513575834483889,0.2040176239987903
p_a2s,1319.0,0.828400084180278,0.040729012704084196,0.7177560372605404,0.7983258949079857,0.8264960569076036,0.8581337516375083,0.9303503403300651
p_s2die,1319.0,0.021864848474923166,0.0045102826457763204,0.011921304216210456,0.01821001701075925,0.021647099009832776,0.02523310129909153,0.03445244178214161
p_s2sc,1319.0,0.02882298051245777,0.00850404739940803,0.01331530075200482,0.021501232577152002,0.028564483724341453,0.035852450363131505,0.05277735960121642
p_s2e,1319.0,0.4636064503757872,0.07902804818668159,0.19410530637542353,0.4155155220887675,0.4695103747136659,0.5204717625552454,0.6564229617672125
p_s2tu,1319.0,0.30270448570017533,0.06621377746774726,0.19025476536270602,0.2527765077023189,0.29170370336740703,0.34031539933706,0.5456122986113566
p_s2ti,1319.0,0.18300123493665646,0.028668404538179572,0.07704298610384516,0.1662602563195598,0.18773466885660434,0.20438161172242564,0.2333083514170623
p_c2die,1319.0,0.03645474919207442,0.01189085896160345,0.01620935342951994,0.02836484607395092,0.03424610751695348,0.04197082042709013,0.11978009659340705
p_c2sc,1319.0,0.04830479966392415,0.01953681414468702,0.01763158676744876,0.033225410074160786,0.04658932995205826,0.058382928618285625,0.16754175611955954
p_c2tu,1319.0,0.5661791915923107,0.04381850123936509,0.4428394376968922,0.5351114096298912,0.5636341922056759,0.5915417007817712,0.7274273847004783
p_c2ti,1319.0,0.3490612595516909,0.05662910755201362,0.17002180184583707,0.31119079920453857,0.35330518901998353,0.3889450691286809,0.49606025378936636
p_tu2txs,1319.0,0.843753316413937,2.0435851843653863e-14,0.843753316413937,0.843753316413937,0.843753316413937,0.843753316413937,0.843753316413937
p_tu2txl,1319.0,0.1054430122589821,1.4854865130916871e-15,0.10544301225898207,0.10544301225898207,0.10544301225898207,0.10544301225898207,0.10544301225898207
p_tu2txd,1319.0,0.05080367132708095,1.11064412193771e-16,0.05080367132708096,0.05080367132708096,0.05080367132708096,0.05080367132708096,0.05080367132708096
p_ti2txs,1319.0,0.560650587267525,0.09604388686177108,0.01748582836362794,0.531998018598767,0.589469725078641,0.6260275549112573,0.6523301957597498
p_ti2txl,1319.0,0.35814822055501494,0.09855457671705264,0.2495933250662344,0.2927670818486707,0.3307249967004398,0.38931208323583794,0.9072710873632239
p_ti2txd,1319.0,0.08120119217746007,0.015473942282573988,0.030473562107829266,0.07187735679686708,0.08417776540984041,0.09414814898756502,0.10160723088608502
CasOnset,1319.0,0.828400084180278,0.040729012704084196,0.7177560372605404,0.7983258949079857,0.8264960569076036,0.8581337516375083,0.9303503403300651
CasCSI,1319.0,0.7867218081257015,0.04525285949135566,0.6624613602776764,0.7526676748852046,0.7853539305470665,0.8210956139824046,0.9031383227108328
CasTxI,1319.0,0.7558135872707632,0.04886798647406883,0.6213930064010742,0.719024130890368,0.7542156873036059,0.7934209933897755,0.8828997737150033
CasTxS,1319.0,0.5569823244023989,0.041952973003253055,0.38624753790338323,0.5276902519423672,0.5571422892814193,0.588781330842691,0.6549794675062044
CDR,1319.0,0.7558135872707632,0.04886798647406883,0.6213930064010742,0.719024130890368,0.7542156873036059,0.7934209933897755,0.8828997737150033
