name,Scenario,State,mean,se_mean,sd,2.5%,25%,50%,75%,97.5%,n_eff,Rhat
prv0,s1,Andhra_Pradesh,0.0015780570057230157,6.337316417644821e-6,2.4425956100451626e-4,0.0011368801178536906,0.0014012609625377872,0.0015743296980057664,0.0017339819225252037,0.0021040153894950537,1485.5674021566554,1.0026357196096378
pr_a,s1,Andhra_Pradesh,0.5701487218644871,0.0010507921655685628,0.06916939043869662,0.43344653642271236,0.5224392414008876,0.5711497545846957,0.6187060886487499,0.7022167861191186,4333.055428742211,1.0003763396377165
pr_s,s1,Andhra_Pradesh,0.24666453462433569,8.889369127247271e-4,0.06105918167112917,0.1383054917986799,0.2031150925877874,0.24392546462258402,0.28682644802581064,0.37320822574060547,4718.023264407066,1.000123470110884
pr_c,s1,Andhra_Pradesh,0.1831867435111773,8.043776705459808e-4,0.05355257771164831,0.09097229712701,0.1441353979921522,0.1794686793387364,0.2165911472501221,0.29873121122364565,4432.418388771818,0.9995476096569647
prv_a,s1,Andhra_Pradesh,8.995869394693423e-4,3.936538393026446e-6,1.7675115993299968e-4,5.840934953075392e-4,7.748829910754373e-4,8.896383908098559e-4,0.0010106412907410225,0.0012815248184991634,2016.023369771836,1.002925133620487
prv_s,s1,Andhra_Pradesh,3.891289474838952e-4,2.0408286375556613e-6,1.1509974215414293e-4,2.029150902379402e-4,3.060413053515644e-4,3.7641682655627104e-4,4.586893994337635e-4,6.42819085207619e-4,3180.7945738318504,1.000019427873402
prv_c,s1,Andhra_Pradesh,2.893411187697782e-4,1.6930646905914867e-6,9.77406802696667e-5,1.3523511557676996e-4,2.1832670898947124e-4,2.7700689768709046e-4,3.4715634175285626e-4,5.050334296129415e-4,3332.7566972706086,0.9995332815413954
prv_t_pub,s1,Andhra_Pradesh,5.897248773828384e-4,1.8027222631745572e-8,1.1423387762580438e-6,5.875046855229709e-4,5.889388970394041e-4,5.897480222190135e-4,5.90475610445688e-4,5.920076126319677e-4,4015.4312413732837,0.9993880593012072
prv_t_eu,s1,Andhra_Pradesh,4.1001214712661495e-4,2.518435428211898e-6,1.2171464291456598e-4,1.7982036235699117e-4,3.236243957940627e-4,4.065724873737245e-4,4.946294462622041e-4,6.523724798789514e-4,2335.73741869919,0.9998053455116342
prv_t_ei,s1,Andhra_Pradesh,1.4514794450121504e-4,8.985514212659664e-7,3.770459067828212e-5,6.339049212221025e-5,1.208764564381241e-4,1.4810808798437373e-4,1.7213332585945366e-4,2.1108032897395286e-4,1760.769837268153,1.0009023443372531
prv_t_pri,s1,Andhra_Pradesh,3.9489360333205664e-5,8.627274204784067e-7,3.250119488458359e-5,1.1747507581023238e-6,1.3559198833022656e-5,3.1861523112582194e-5,5.756648745220671e-5,1.1982044164587799e-4,1419.2256522085409,1.0013609555577894
tbps_pub,s1,Andhra_Pradesh,5.897248773828384e-4,1.8027222631745572e-8,1.1423387762580438e-6,5.875046855229709e-4,5.889388970394041e-4,5.897480222190135e-4,5.90475610445688e-4,5.920076126319677e-4,4015.4312413732837,0.9993880593012072
