Location,p_a2die,p_a2sc,p_a2s,p_s2die,p_s2sc,p_s2e,p_s2tu,p_s2ti,p_c2die,p_c2sc,p_c2tu,p_c2ti,p_tu2txs,p_tu2txl,p_tu2txd,p_ti2txs,p_ti2txl,p_ti2txd
Andhra_Pradesh,0.041014658675124674,0.11007582872078643,0.8489095126040889,0.04125883869101886,0.054650646350017595,0.3622783167489102,0.34507645589018443,0.19673574231986896,0.09215409671510857,0.12207215880381055,0.5057255950043914,0.28004814947668955,0.8930959950176864,0.06006048789224531,0.04684351709006829,0.9253343669606225,0.009609149560128713,0.06505648347924875
Arunachal_Pradesh,0.03208572968216688,0.08494883292395895,0.8829654373938741,0.024580548160044242,0.032039330654566794,0.3694020269197497,0.49109198217098154,0.08288611209465775,0.076000096640086,0.09934010817232629,0.7070977629147835,0.11756203227280422,0.7954869782376026,0.1816803424901891,0.0228326792722083,0.19527373936144762,0.7648261618874801,0.039900098751072276
Assam,0.04555905021882793,0.11954542900818278,0.8348955207729893,0.036167521093061275,0.0475935619907428,0.45674164242778476,0.3854242436002559,0.07407303088815526,0.0815279610255079,0.1079112254900782,0.6753956771280735,0.13516513635634042,0.8259850384231232,0.13450471201342606,0.03951024956345077,0.49204123705789216,0.4410363724995524,0.06692239044255553
Bihar,0.04739116705246153,0.12741537014577123,0.8251934628017672,0.051590301634318075,0.06835852001206522,0.5245782451751013,0.18644359690502138,0.16902933627349398,0.04969421744682427,0.06618136927057797,0.4775007043092048,0.40662370897339295,0.7600728892488358,0.2161895120469731,0.02373759870419109,0.5584644759555845,0.4033313388951503,0.038204185149265206
Chandigarh,0.03981618910704146,0.10719581616523917,0.8529879947277194,0.030717989192089557,0.040854118210665674,0.5011659175912481,0.2495141239759365,0.1777478510300602,0.0690791975661336,0.09210530053904172,0.4938166895967385,0.3449988122980862,0.8078407979693905,0.15667601386160443,0.03548318816900516,0.5989522378319133,0.3440843888588492,0.05696337330923749
Chhattisgarh,0.09291126151056818,0.251039292184002,0.6560494463054298,0.03514097442597539,0.04690238021571168,0.3776672721440546,0.4449979620867057,0.09529141112755263,0.05221917804001037,0.06993312617748108,0.7201472599236427,0.1577004358588658,0.8771402771506963,0.07698051609766265,0.04587920675164099,0.5751229723293314,0.374913048642276,0.04996397902839253
Delhi,0.0664250775867524,0.17982014653287287,0.7537547758803748,0.05365845036088939,0.07130360301776444,0.5259804062873878,0.20364979360290467,0.14540774673105364,0.06799419470978672,0.09078059031443499,0.4942595227136749,0.34696569226210344,0.7511878711453427,0.229155076423488,0.01965705243116934,0.3791260100747989,0.5861167996749779,0.034757190250223224
Gujarat,0.024475487312349505,0.06667403774929258,0.9088504749383579,0.005505887535028,0.007377451159472352,0.48975412522171347,0.34909814945672396,0.14826438662706226,0.017819922443527515,0.023890449965108623,0.6829694753054122,0.2753201522859517,0.8476915012298553,0.09633731636177913,0.05597118240836565,0.7008639165629957,0.2293992061750992,0.06973687726190507
Haryana,0.05084361109496149,0.1345637204638178,0.8145926684412207,0.05624075410544625,0.07458317113832856,0.3910232945123222,0.2865354374833929,0.1916173427605101,0.03007477444965456,0.04001711148910688,0.5549011806638355,0.375006933397403,0.8270945628437958,0.13082345136412638,0.04208198579207783,0.6425539683778496,0.2897120645556848,0.06773396706646566
Himachal_Pradesh,0.03925441607887064,0.10018954136292695,0.8605560425582024,0.008115355427218798,0.010643537214832776,0.5912373037168381,0.22784449923895347,0.1621593044021568,0.06866763371343479,0.09019998175084389,0.49513942257478066,0.34599296196094065,0.8908530033621018,0.06320404838653779,0.04594294825136038,0.7090950371347614,0.21718130125825147,0.07372366160698712
