State,p_txd_pub_m,p_txd_pub_l,p_txd_pub_u,p_txs_pub_m,p_txs_pub_l,p_txs_pub_u,p_txl_pub_m,p_txl_pub_l,p_txl_pub_u,p_txd_eng_m,p_txd_eng_l,p_txd_eng_u,p_txs_eng_m,p_txs_eng_l,p_txs_eng_u,p_txl_eng_m,p_txl_eng_l,p_txl_eng_u
Jammu & Kashmir,0.027647862854484697,0.026044232860344203,0.02935402135819004,0.8082865360168788,0.8043762762286077,0.8122346140227353,0.16406560112863652,0.16036889328672999,0.16779517600045601,0.008341814981131268,0.0055080946486483345,0.011463193710777267,0.5408528222485981,0.5237495212313691,0.5579137660659258,0.45080536277027067,0.43365916017174905,0.46803529439276426
Jharkhand,0.025648888035631534,0.024839961115499177,0.026464512765972358,0.8336905766905447,0.831817293996195,0.8355516075057003,0.14066053527382374,0.1389307747098653,0.14243889690879552,0.021986533299980047,0.020700907837022074,0.023355183241186555,0.6130112337925441,0.6084191421141395,0.6174699200888331,0.3650022329074758,0.3606309229205779,0.3694261675295813
Karnataka,0.06935253046953857,0.06837417398237168,0.07031224251968166,0.8052536567420265,0.8036694628889897,0.8068262373763326,0.12539381278843492,0.12413787563444821,0.1267399632855883,0.03282415129606376,0.03132847470230954,0.03434872328649373,0.7030798416432624,0.6993060817244905,0.7067331063069864,0.26409600706067377,0.2605279985788924,0.2678151479056316
Kerala,0.060439883913250655,0.05876543778006883,0.062145846599311994,0.854477191421102,0.8519891597343489,0.8569696556345722,0.08508292466564728,0.08306694009470818,0.08713341535486036,0.04460979097405911,0.04146988972212916,0.0478065095866265,0.7684863009016025,0.7622027408192054,0.7749595539574289,0.18690390812433832,0.1808334323199403,0.19298428645679924
Madhya Pradesh,0.03397724081700423,0.033467811676795196,0.03449973026539244,0.8523560771021469,0.8513609846124046,0.8533420177299124,0.11366668208084893,0.11278308020251569,0.11454196419563503,0.017831700918457642,0.0171114753966502,0.018592597839213146,0.6239451019908043,0.6212210246119922,0.626701769411971,0.358223197090738,0.35549193419186215,0.3609131490255541
Maharashtra,0.04539072931401362,0.04480233879854295,0.045963145239567335,0.8234469605450777,0.8223837138387686,0.8244915163094102,0.13116231014090868,0.13022459602154135,0.13210184015567816,0.024775839940240213,0.024174175909671972,0.025387497835570188,0.6435148452953604,0.6416735476640367,0.6453681980877766,0.3317093147643994,0.32992747421288326,0.3335019078618919
Manipur,0.029463701346076208,0.025692201591238494,0.0334818589397713,0.7475310269427778,0.7376663894793739,0.7574021061722481,0.22300527171114598,0.21338285193041462,0.23244551427102506,0.014590086309716366,0.009944954051370691,0.02006092358433817,0.5840649174406385,0.5645479125103686,0.6035253068409402,0.40134499624964515,0.381730773642453,0.42085518039690334
Meghalaya,0.040621618897852416,0.03744905006599292,0.04388599365557196,0.7715087507814113,0.7644056670470613,0.7783550642326761,0.18786963032073625,0.1814297208534235,0.1944808806266441,0.006037357373523765,0.003266136283228762,0.009711968639232493,0.5147814710287731,0.49345276963395235,0.5357277180737068,0.4791811715977031,0.4582631669233615,0.500441637638425
Nagaland,0.022057177956525276,0.019584176336695125,0.02470996896146059,0.8250769131780594,0.8185471612871377,0.8317845896677182,0.1528659088654153,0.1466410962646371,0.15925213107872058,0.022163644961733255,0.017080385540158276,0.027790023812524902,0.45905792224782604,0.4413025279032686,0.47697682956900556,0.5187784327904407,0.5003238219189022,0.5361970047655253
Odisha,0.05003846210198479,0.04907660664008375,0.05100374988049717,0.7980967269496749,0.7963331300705071,0.7998102717899714,0.15186481094834028,0.15029881208492216,0.1534112674947723,0.019485371251318013,0.017187105734246394,0.02195279265061293,0.6636416909629735,0.6555859630129135,0.6714766122124789,0.3168729377857085,0.3093292476701498,0.32464896364646195
Punjab,0.04635100085209372,0.045343714140461726,0.04740788523961264,0.8319792949132635,0.8301029062747561,0.8338976884087219,0.12166970423464275,0.12007446340015253,0.12330138347242403,0.05149819133737573,0.04937836061699717,0.053620417302344986,0.6847495661432954,0.6801532593665183,0.6893661212080873,0.26375224251932883,0.25940783274349827,0.26807963290949793
Rajasthan,0.03458113154549366,0.03402915747508748,0.03513414113567536,0.8255359012266418,0.8243755635028984,0.8267105216572473,0.13988296722786453,0.1387944301926652,0.14097323097229442,0.016564929287720482,0.01595046708995092,0.01720166976570293,0.6903617683963752,0.6880887133462739,0.6926359857863289,0.2930733023159043,0.290824028766726,0.29529680347725906
Tamil Nadu,0.05413582783507078,0.0532745194136046,0.054959734753491474,0.8336898805845672,0.8323237439200245,0.8350674314003135,0.11217429158036206,0.11103574776436889,0.11334568976734201,0.018771384815252673,0.017866407951898835,0.019693907884299613,0.7572972568198069,0.7545403899891252,0.7600103100495922,0.22393135836494044,0.2212400592635902,0.2265617496722959
Telangana,0.03864177591327844,0.037742593761117105,0.0395835517449028,0.8729396071252488,0.8713365412208067,0.874502102623159,0.08841861696147277,0.08713847513110753,0.0896952268158615,0.020576543519403637,0.019503691952125556,0.02169837877838435,0.9246758097662047,0.9225674301013745,0.9267293398726103,0.05474764671439166,0.05293547715935464,0.05654862889339491
Uttar Pradesh,0.036165238607866225,0.0358192544215012,0.036513454458713006,0.8013144072048182,0.800587228978199,0.8020102692503902,0.16252035418731559,0.16186818311098636,0.163194084328443,0.03243036534116648,0.031890360858654467,0.03298213507078364,0.6690322413755533,0.6676302422893767,0.6704254823729511,0.2985373932832802,0.29719125351602954,0.2998926049069407
Uttarakhand,0.038667289711713966,0.03717065709447429,0.04016801336746456,0.8277750327619525,0.8248204036321222,0.8307307292803408,0.1335576775263335,0.13087639325016387,0.1362010714830023,0.01709337067294038,0.015164226539039755,0.019146055093925165,0.8407765762878683,0.835152509463785,0.8461843407497034,0.14213005303919135,0.1368039358026006,0.1476243405482669
West Bengal,0.05080650561905766,0.05005656225892461,0.0515670324898854,0.8437455376748725,0.8424919471668435,0.8449761342251959,0.10544795670606982,0.10438506341544636,0.10653712151103921,0.028116985775122564,0.026687182791288316,0.029594504182286825,0.6524186059952912,0.6482514671908595,0.6564844035880989,0.3194644082295862,0.3155128765904119,0.32351364208957006
