State,p_txd_pub_m,p_txd_pub_l,p_txd_pub_u,p_txs_pub_m,p_txs_pub_l,p_txs_pub_u,p_txl_pub_m,p_txl_pub_l,p_txl_pub_u,p_txd_eng_m,p_txd_eng_l,p_txd_eng_u,p_txs_eng_m,p_txs_eng_l,p_txs_eng_u,p_txl_eng_m,p_txl_eng_l,p_txl_eng_u
Andhra Pradesh,0.04683946895635798,0.045970724513328134,0.04769934513421528,0.8930867424337273,0.8918594964608897,0.8943126407500736,0.06007378860991474,0.059171941399675146,0.06101230266582008,0.012886898393005447,0.012130189969902743,0.013626275317090845,0.9468853411567204,0.9453466733783967,0.9483981997363025,0.040227760450274146,0.038920118567245365,0.041611745105244985
Arunachal Pradesh,0.02285072242339903,0.020229598412543924,0.025602114681340434,0.7954725431859128,0.787977087881105,0.8029482216765378,0.18167673439068824,0.1744364489324178,0.18879735130821537,5.240311819760729e-5,0,1.1668603156926652e-5,0.333286572485064,0.2292253173533233,0.43307511508655727,0.6666610243967385,0.5669248849134427,0.7707746826466767
Assam,0.039509912541067796,0.038508560076255485,0.04054111301661428,0.8259608310727815,0.824007429052849,0.8278955330352563,0.13452925638615065,0.1328161920114829,0.13624087981531055,0.023479519295325307,0.021200652157552072,0.025850030686413342,0.5937753883264668,0.5865068490304821,0.6011294129240616,0.3827450923782079,0.3755241722073471,0.38991511667410456
Bihar,0.023731035045145052,0.02311994955899626,0.024354877126665953,0.7600776320915822,0.7583587389010531,0.761829884297223,0.21619133286327277,0.21453892588200477,0.21782197580911608,0.027351893657698977,0.026583526866125338,0.02814751632474235,0.6238210310338723,0.6215567280496338,0.6260351158744173,0.34882707530842877,0.34669815238935997,0.3510068768967856
Chandigarh,0.034822246839249615,0.03163286868990433,0.038262375273861074,0.8529097809156434,0.8466626828506384,0.8591188177118142,0.11226797224510693,0.10683392266203445,0.11777032101183683,0.029984467361809868,0.01810417412188558,0.04429356803046419,0.44072052471446366,0.40332532765073636,0.48385165900072813,0.5292950079237265,0.48558726569264016,0.5682645048711983
Chhatisgarh,0.04587827116106053,0.044672463323676755,0.04709062651870478,0.8771425035452824,0.8752194362873129,0.8790007834301972,0.07697922529365703,0.07548563948833574,0.07852500460507862,0.01422745956873425,0.013115730130398828,0.015356201044409068,0.6974869688921705,0.6930217082485778,0.7020285354176135,0.2882855715390952,0.28376578534899666,0.2926553693218847
Delhi,0.019654161184601362,0.019110375634933254,0.02020620503443582,0.7512002571490497,0.749545992850727,0.7529095278389533,0.22914558166634894,0.22749301340263406,0.23074812842312017,0.028668815863345774,0.02732626267383727,0.03002470262426586,0.48887388057005915,0.4850409492236278,0.49279522173199203,0.48245730356659505,0.47852194744796744,0.4862573180678004
Gujarat,0.0559687900285778,0.05526557653991675,0.056666050235762155,0.8476952469608585,0.8465533513633555,0.8488340929444802,0.09633596301056371,0.0953757824471691,0.09728837075740006,0.022526396458459597,0.021846225166789423,0.023243339186343547,0.776990561770893,0.7749543424764977,0.7788886466131254,0.20048304177064744,0.1986814963464931,0.20237267559864064
Haryana,0.04209081377117551,0.04117098506228922,0.04301329430029004,0.8270902280743878,0.825395796631538,0.8288100892970229,0.13081895815443667,0.12933269654878737,0.1323318798780524,0.028723668526450998,0.02736381915652519,0.03013658837676375,0.7026787086391467,0.6989097240155746,0.7067018974205096,0.26859762283440225,0.26469621801969473,0.2721766888022193
Himachal Pradesh,0.045949624526248664,0.04424284612019987,0.04766350417589889,0.8908438171811355,0.888263334139603,0.8934640732639043,0.0632065582926159,0.06124923738405511,0.06517793027099276,0.034031596604145786,0.028441743286254657,0.040490443932080095,0.7688915589461275,0.7547864967162373,0.7821668720567178,0.1970768444497267,0.18459577618576656,0.2100411754955243
India,0.04155660135265129,0.041397285519852445,0.041717079949718586,0.8244378427640477,0.8241303119908948,0.8247434510794935,0.13400555588330101,0.13374444343797473,0.13427663696653777,0.02521867297765142,0.024997384638459727,0.025433451954100194,0.6905030611069826,0.6898510041600137,0.691157867767367,0.2842782659153661,0.28366503572079826,0.2849051921475985
