Location,DelayPat,DelaySys,DelayTot,CasOnset,CasCSI,CasTxI,CasTxS
Andhra_Pradesh,3.299914318802128,2.583623544092064,5.883537862894192,0.8489095126040889,0.7679637801364853,0.710723950234445,0.6390589229430508
Arunachal_Pradesh,1.9578621391312567,2.02811999389311,3.9859821330243665,0.8829654373938741,0.8331748449117904,0.7845209285114106,0.556513851831737
Assam,2.8907702703139346,3.0759870105218634,5.966757280835798,0.8348955207729893,0.7652947134238702,0.6974188267678476,0.5377372262963299
Bihar,4.156305655822516,2.3320153790944413,6.488321034916957,0.8251934628017672,0.7270296208152804,0.6786898982897077,0.45278543554100614
Chandigarh,2.478081187229513,2.8979026183990677,5.3759838056285805,0.8529879947277194,0.792264664180572,0.7263525978004419,0.5249947808882227
Chhattisgarh,2.8244074870173854,1.5143499973179415,4.338757484335327,0.6560494463054298,0.6029645479016087,0.5768460086591847,0.4743402325725667
Delhi,4.308719786548934,3.2163511344272706,7.525070920976205,0.7537547758803748,0.6602785806791913,0.5992457860611924,0.35884890510631806
Gujarat,0.4427377896566162,0.6693004399881296,1.112038229644746,0.9088504749383579,0.8972029989506822,0.8798262626463332,0.7034315991478919
Haryana,4.522627522948469,1.031824598258344,5.554452121206814,0.8145926684412207,0.708738156482593,0.687762094433947,0.5182499624554786
Himachal_Pradesh,0.6486333948931731,3.236667598842696,3.885300993735869,0.8605560425582024,0.8444979783409359,0.7658723275518747,0.6256239843709213
India,2.925114111124963,2.6386420434095053,5.563756154534468,0.8359971844596289,0.7652307867069732,0.7068222224825389,0.5336573632141619
Jammu_and_Kashmir,0.6482077960598936,3.240386495839223,3.8885942918991168,0.8602227716512393,0.8440444521074136,0.7646995128436745,0.4988620699687591
Jharkhand,3.2486208480910914,0.79160333173857,4.040224179829662,0.835776650078119,0.7577273893700817,0.7405284639723158,0.5263406278422221
Karnataka,4.696276839811498,3.0797144012553552,7.775991241066853,0.8751203909479888,0.756964546939176,0.690035332780736,0.5163788080217068
Kerala,0.6089204181478555,1.2246011091285287,1.833521527276384,0.8892856832318798,0.8735431451070295,0.8424511177216673,0.6771394699741243
Madhya_Pradesh,1.8874616159254396,0.6637704319939565,2.551232047919396,0.8277681972820917,0.7829981606774025,0.7681363229202726,0.5533883124538296
Maharashtra,1.9806948907339506,2.0791917250243683,4.059886615758319,0.8995872468886454,0.8476872151485961,0.7964201585471329,0.5808231610838288
Manipur,4.335791842156376,4.796486306562854,9.13227814871923,0.7712358914419607,0.6746866528592161,0.581277417891742,0.40842390366427234
Meghalaya,2.643784373161532,2.7930873133182264,5.436871686479758,0.848005950679257,0.7838273916651067,0.7211764081060921,0.510656374980957
Nagaland,1.9755525921088606,2.049992174643444,4.025544766752304,0.881058578832686,0.8307724937591255,0.7815796112674291,0.586825359770535
Odisha,1.2128783240383223,2.463686414087152,3.6765647381254745,0.7584227328710015,0.7319694961798018,0.6801240461180793,0.49514897624392834
Punjab,0.6565569061865913,1.3282537915340928,1.9848106977206843,0.8079704756842275,0.7926628215075864,0.762289970880778,0.6014499295748045
Rajasthan,2.2456672962664657,5.091616725386383,7.337284021652849,0.8777172473244659,0.8213559755968383,0.7018728359934947,0.5184518547741699
Tamil_Nadu,5.551477900719117,3.730810075460229,9.282287976179347,0.8792828060191228,0.7394619456507621,0.6606147685830474,0.5177754577470827
Telangana,3.664997034015018,4.862570015408543,8.527567049423562,0.8989656091035244,0.8035696602849286,0.6905613650468565,0.6060795104996608
Uttar_Pradesh,2.7583659220776275,2.667278691212215,5.425644613289843,0.8481822323522037,0.7813137148946302,0.7218371017535794,0.518066022791942
Uttarakhand,0.6479630877148614,3.236461114564031,3.884424202278893,0.8603539644471654,0.8441871693189733,0.7649628115171538,0.6374645339127724
West_Bengal,1.7530469286700716,1.3697947560229795,3.122841684693051,0.8284000841802778,0.7867218081257015,0.7558135872707633,0.5569823244023989
