State,prv0_m,prv0_l,prv0_u,adr_m,adr_l,adr_u,p_pub_m,p_pub_l,p_pub_u,p_ppm_m,p_ppm_l,p_ppm_u,r_sym_m,r_sym_l,r_sym_u,r_aware_m,r_aware_l,r_aware_u,r_acf_m,r_acf_l,r_acf_u,r_det_all_m,r_det_all_l,r_det_all_u,r_sc_m,r_sc_l,r_sc_u,txi_pri_m,txi_pri_l,txi_pri_u,ppv_pri_m,ppv_pri_l,ppv_pri_u,dur_pri_m,dur_pri_l,dur_pri_u,p_pri_on_pub_m,p_pri_on_pub_l,p_pri_on_pub_u,ra_m,ra_l,ra_u,rs_m,rs_l,rs_u,rc_m,rc_l,rc_u,r_det_m,r_det_l,r_det_u,a0_m,a0_l,a0_u,c0_m,c0_l,c0_u,pr_a_m,pr_a_l,pr_a_u,pr_s_m,pr_s_l,pr_s_u,pr_c_m,pr_c_l,pr_c_u,prv_a_m,prv_a_l,prv_a_u,prv_s_m,prv_s_l,prv_s_u,prv_c_m,prv_c_l,prv_c_u,prv_t_eu_m,prv_t_eu_l,prv_t_eu_u,prv_t_ei_m,prv_t_ei_l,prv_t_ei_u,prv_t_pri_m,prv_t_pri_l,prv_t_pri_u,det_pub_m,det_pub_l,det_pub_u,det_eng_m,det_eng_l,det_eng_u,det_pri_m,det_pri_l,det_pri_u,prv_t_pub_m,prv_t_pub_l,prv_t_pub_u,scale_dur_m,scale_dur_l,scale_dur_u,r_death_a_m,r_death_a_l,r_death_a_u,r_death_s_m,r_death_s_l,r_death_s_u,ppv_pub_m,ppv_pub_l,ppv_pub_u,ppv_eng_m,ppv_eng_l,ppv_eng_u,sens_acf_m,sens_acf_l,sens_acf_u,spec_acf_m,spec_acf_l,spec_acf_u,dur_pub_m,dur_pub_l,dur_pub_u
India,0.0023860860053000286,0.0022589581102500232,0.002528454371963184,0.045506334825990175,0.044926938384896954,0.04610989152464093,0.627825570047724,0.430881222286225,0.7082391032193143,0.7217104068708511,0.3079198410075903,0.9876543570544836,0.9929283813629748,0.8833359676743808,1.1248185485464162,2.8152972017855267,2.4310353488118532,3.3151943674022704,0.0037688720596195176,0.003732798722594854,0.0038024539314086116,3.1386506025171634,2.6615674717924938,3.706041838700862,0.1990951685417811,0.10505645574871485,0.29577817102101833,0.4473359814861625,0.020153355531718067,0.9614507470981051,0.5365130451086071,0.14876915873808788,0.8412509263928376,1.0299296852682402,0.6974518882569366,1.4752795882615304,0.29265787280656425,0.18347682361258702,0.3996680975111964,0.2017333789835148,0.10765774827044199,0.29842733854550113,0.3217333789835148,0.22765774827044197,0.4184273385455012,0.3217333789835148,0.22765774827044197,0.4184273385455012,3.7325732608495286,2.9519609710163945,5.3329002945797415,3.118773643947126,2.7020094024137946,3.615990494114473,0.8280140478750906,0.6933341261983667,1.002193911284807,0.6299140919771122,0.6013015881954619,0.6573829265723623,0.2028338078194659,0.17978071835447515,0.22542690416262495,0.16725210020342185,0.14769071437284942,0.18859940283016308,0.0015030218819468864,0.0013975682980270493,0.0016159438288834197,4.8396550129880975e-4,4.2489254122562227e-4,5.485957837156148e-4,3.9909862205432306e-4,3.47057782239895e-4,4.5766014860318356e-4,2.2006052914124704e-4,1.379697075065965e-4,3.0039563599962277e-4,2.6496320085606366e-4,1.637504137454615e-4,3.720590296185445e-4,9.681508672462588e-5,2.490229933895164e-6,1.989296767396835e-4,0.627825570047724,0.430881222286225,0.7082391032193143,0.2554111189366127,0.17524286152403207,0.2880998170211936,0.11676331101566331,0.0036015734384878227,0.3938759161897432,5.376865951937056e-4,5.37270020710682e-4,5.381043176944939e-4,1,1,1,0,0,0,0.12,0.12,0.12,0.85,0.85,0.85,0.85,0.85,0.85,0.7,0.7,0.7,0.99,0.99,0.99,0.5,0.5,0.5
Andhra Pradesh,0.002215901852776771,0.0016125801338888058,0.0029393778637505637,0.06526519161672871,0.06227821227691791,0.06845545214606887,0.6656922294443051,0.45090786327657284,0.7274497796702806,0.7838837920989766,0.3069260434878822,0.9947393708443605,1.2659748682789063,0.84741689081919,1.840522769279473,2.83900287300344,1.5683235488226634,5.151266096702303,0.003793221628223933,0.003610791551813348,0.003957075841950805,3.6433082462803053,1.8162503618319745,7.022808852939272,0.19888327778639908,0.1047660628931447,0.29395620179227666,0.3259886885053133,0.005235883937961191,0.9421198006281563,0.5412817995413995,0.14141752526110726,0.8370768507191957,1.235300601757236,0.6640681336845049,1.4919303488591202,0.5088077458701746,0.22446540161544584,0.8769911363156503,0.2015385329261558,0.1073926251713308,0.29652099501513834,0.3215385329261558,0.2273926251713308,0.4165209950151383,0.3215385329261558,0.2273926251713308,0.4165209950151383,4.059771667175977,1.9494837066668118,8.443192352686077,2.5515137444141343,1.2399002898822886,4.883570827138183,0.8135229536153583,0.291354495529997,1.7728668990995176,0.572733087984187,0.43756824428744717,0.7060680031405163,0.24507287625322527,0.13471213729871545,0.37313030398018865,0.18219403576258772,0.09088051597380128,0.2995445651073301,0.0012693768842002705,8.518859721611167e-4,0.0018136365436746454,5.433356753413364e-4,2.7591664627891826e-4,8.980865664132669e-4,4.031892932351545e-4,1.870949160354825e-4,7.135305666407452e-4,4.0597039139523915e-4,1.7959994686904e-4,6.988604962615755e-4,1.4932465188707925e-4,5.130651716911124e-5,2.1382355016591974e-4,3.103182747017924e-5,4.28407819985472e-7,1.2138711059579302e-4,0.6656922294443051,0.45090786327657284,0.7274497796702806,0.24791473906358058,0.16806322902541956,0.2712004401803405,0.08639303149211433,0.0014384731990979786,0.38056148988217453,5.900618919371866e-4,5.87768170694099e-4,5.92351056602161e-4,1,1,1,0,0,0,0.12,0.12,0.12,0.85,0.85,0.85,0.85,0.85,0.85,0.7,0.7,0.7,0.99,0.99,0.99,0.5,0.5,0.5
Arunachal Pradesh,0.0023158160248439087,0.0016533120291413288,0.003129976782352745,0.09366830265215409,0.08155670835377932,0.09976453646392937,0.890558459449195,0.6013047699314881,0.9888831866221648,0.0999917842963572,0.007409275530279432,0.45145724542024435,1.3258735703573488,0.8545681593745319,1.9975204777686337,3.917025053321085,1.8606456426732811,7.9100957745214115,0.0029577552569843854,0.0025409151641140955,0.0033821779046617493,3.6363174396361964,1.8181009092913736,7.333672940215738,0.19850506101794904,0.10441370633859627,0.2956735029064587,0.5353375093862913,0.06672118400290021,0.9796395570926713,0.4614626642808573,0.11604958216643395,0.833521958162107,0.7201585581695317,0.0744673009117352,1.4567805819054338,0.47927066591334977,0.016282085743318655,0.970361910406788,0.20057548969783812,0.10654876724962643,0.29779091509884714,0.3205754896978381,0.22654876724962641,0.4177909150988471,0.3205754896978381,0.22654876724962641,0.4177909150988471,4.203223115392007,1.9835020110867179,8.789991894207645,3.294768573020463,1.3502608233115716,7.314521391568837,1.1428958809859946,0.3534003690928849,2.7510679926844963,0.5901830853953767,0.4354056937424897,0.7351858226359121,0.2048467323979344,0.09501383761597967,0.34146723695225734,0.20497018220668894,0.0973838595490739,0.3365943917947919,0.001367631164843429,8.589864055988246e-4,0.0019977110939709748,4.74284301144618e-4,2.0565946938599024e-4,8.634703376331014e-4,4.7390055885585214e-4,2.0839953587632398e-4,8.325618701052698e-4,7.349036957118555e-6,2.440479008852785e-7,1.6213473374955197e-5,1.099942793072265e-5,2.7340925509051855e-7,6.267743712784027e-5,2.1126006345427892e-4,1.3404609657701e-4,2.8198342601993176e-4,0.890558459449195,0.6013047699314881,0.9888831866221648,0.00451636290543236,0.0028090147092250627,0.0059762324262257575,0.10492517764537268,0.006226864015362485,0.39602667407973285,9.036388833559389e-4,8.875833930825752e-4,9.203306269301392e-4,1,1,1,0,0,0,0.12,0.12,0.12,0.85,0.85,0.85,0.85,0.85,0.85,0.7,0.7,0.7,0.99,0.99,0.99,0.5,0.5,0.5
Assam,0.0026671945001452094,0.0019001410164730971,0.0035528617141698466,0.0804050228272732,0.07583335425381653,0.08461753112565484,0.7340931802187235,0.4650658377141013,0.843483552896198,0.576929942572216,0.15674179937402782,0.9714031786302578,0.7973338530931524,0.5118916746584876,1.21667507508321,2.252751795075343,1.0497574007664425,4.667935251861227,6.623728830947555e-4,6.110679220620997e-4,7.152799814966062e-4,2.01528454739831,0.9689480892206852,4.08312733722003,0.19962962113504779,0.1052615740568955,0.2946857005107072,0.44460961732494797,0.022209642720705143,0.9636101432496031,0.5043706904982671,0.12842100948691101,0.8330607877316327,0.8851650788960714,0.32472600793192263,1.4667242936948588,0.2851198337606445,0.011846514375115493,0.8293533571653778,0.20009328215321412,0.10572761931869658,0.2951474968397634,0.32009328215321414,0.2257276193186966,0.4151474968397634,0.32009328215321414,0.2257276193186966,0.4151474968397634,2.4488964576145467,1.1102853408361162,5.40460864015179,3.309909833268672,1.364771253149453,7.1739203444775885,1.1283263568509336,0.3501619324203428,2.6804491427903923,0.5926509219412861,0.4381208766374477,0.7344849317668188,0.2055484350831537,0.09609231596749898,0.3488776081642885,0.20180064297556016,0.09432935747037047,0.3406722071021486,0.0015803365080161761,0.0010131084363500307,0.0022823738581640497,5.483631834224082e-4,2.30767278865406e-4,9.959652939914056e-4,5.384948087066164e-4,2.3182532569793125e-4,9.606891763520857e-4,7.411320619158194e-5,3.090858409832713e-6,2.1528944603156551e-4,1.1707644305691821e-4,2.605469341369712e-5,2.3803753034938875e-4,1.033471900413374e-4,3.279961185316512e-6,2.1397640384325552e-4,0.7340931802187235,0.4650658377141013,0.843483552896198,0.1321464245918883,0.0836426659095194,0.1519100524090513,0.1337603951893882,0.004477375280014011,0.4517466715602394,4.810241546378112e-4,4.7848413809923875e-4,4.8359987697581426e-4,1,1,1,0,0,0,0.12,0.12,0.12,0.85,0.85,0.85,0.85,0.85,0.85,0.7,0.7,0.7,0.99,0.99,0.99,0.5,0.5,0.5
Bihar,0.0027998170894814197,0.002180265271826242,0.0035254699419881874,4.565017722420185e-5,8.816133682980104e-7,1.6744447854030877e-4,0.40833985580405935,0.1992682802990513,0.5306409155689908,0.5916788405095084,0.20355857476203998,0.9232189314019258,0.7580041191621809,0.5259467462764008,1.091660478840536,1.4012610931198348,0.8306706367341946,2.360572659206785,0.0015207201509433083,0.0014482185973687155,0.0015869511353253834,2.6744345329410466,1.3081854893665568,5.432861826916974,0.20224839365041863,0.10608849143473581,0.2942176271280383,0.5105516887272334,0.05541672259119199,0.9686044882246959,0.4842718181857248,0.12380316219685499,0.8293542203576783,0.7822321178686734,0.12809135685514492,1.45846367446322,0.9427879594442197,0.8048361757216445,0.998291059597875,0.20331289775607897,0.10713203741214063,0.2952323722535287,0.32331289775607897,0.22713203741214064,0.4152323722535287,0.32331289775607897,0.22713203741214064,0.4152323722535287,3.505771701641877,1.5273597011893703,8.15416895002554,2.3573338952688943,1.2925669306912795,4.017822695084773,0.5225473835468348,0.19882289936354566,1.0841279380686542,0.5984725091143471,0.4817714330858595,0.710383631658832,0.26920404082343047,0.16926757686819685,0.3833160658797547,0.13232345006222243,0.06148821539849556,0.22261362215614897,0.0016756194189757303,0.0011918455294204844,0.0022470273484850177,7.535994092118752e-4,4.371358601735235e-4,0.001141920170081174,3.705982612938057e-4,1.61761777386711e-4,6.432191898054298e-4,7.767391427586979e-4,6.632011381796513e-4,8.226480664081308e-4,4.542958339155772e-5,7.927654528802157e-7,2.46434639046301e-4,3.4432880377145106e-4,1.4113295140063826e-4,4.502236752885317e-4,0.40833985580405935,0.1992682802990513,0.5306409155689908,0.33409310485867727,0.16280495335697182,0.4338773260249417,0.2575670393372634,0.03603786529776822,0.6369895747209703,2.4108089058872144e-4,2.4015233919066824e-4,2.4202321435480022e-4,1,1,1,0,0,0,0.12,0.12,0.12,0.85,0.85,0.85,0.85,0.85,0.85,0.7,0.7,0.7,0.99,0.99,0.99,0.5,0.5,0.5
Chandigarh,0.002303243927105422,0.001500910244163433,0.003267158253416306,0.09796454239389894,0.09315342446752398,0.09994591908703242,0.8317988592166573,0.568633389699785,0.9131681521696156,0.5559782030928225,0.1200761537824639,0.9561536382228646,1.3779763855100724,0.8569770220828943,2.1475746675555833,11.271397082896097,3.247208008156701,37.11202521648309,0.0018963041984354993,0.0014840182356969677,0.0023638905431979315,11.298677484640248,3.140866593225967,36.53649179184191,0.199025986231521,0.10507413484350012,0.29573979554046764,0.4127973109746016,0.024855249733186847,0.9553649148425309,0.5127772177088457,0.13316843879564022,0.837407080268761,0.8703418495241576,0.23983226939731397,1.4667869238971434,0.45781701560591476,0.024005622072751608,0.9639165972827154,0.20035339917042588,0.10646695711084293,0.29703910923700627,0.3203533991704259,0.22646695711084291,0.41703910923700627,0.3203533991704259,0.22646695711084291,0.41703910923700627,18.15657884924196,4.790747099160355,60.25256194716079,8.886967083853904,2.1932265202838104,29.51456993324678,1.448804547545457,0.16974067427757772,5.81694945438875,0.7539400078394178,0.5719293190728199,0.8958370666149886,0.12415761284545959,0.027539220149193057,0.2769497847327876,0.12190237931512263,0.027657309232209076,0.2681095584701056,0.0017363213945268436,0.001062099691134274,0.002596713570302605,2.854320778447937e-4,5.946865888506117e-5,6.730116997266722e-4,2.814904547337762e-4,5.953884805174558e-5,6.810824119333713e-4,9.234553970431986e-5,4.793350157466178e-6,1.9403299317971053e-4,7.513100381990793e-5,3.89301634331084e-6,2.126563430102901e-4,1.5687626607439182e-4,1.970465415320805e-5,2.585121003789065e-4,0.8317988592166573,0.568633389699785,0.9131681521696156,0.07591391236823297,0.05178326248746195,0.08561872271570782,0.09228722841510978,0.0038526351341519353,0.37683199199955236,0.0012292806039485402,0.0012067720498245592,0.0012509406079401853,1,1,1,0,0,0,0.12,0.12,0.12,0.85,0.85,0.85,0.85,0.85,0.85,0.7,0.7,0.7,0.99,0.99,0.99,0.5,0.5,0.5
Chhatisgarh,0.0023378660858559444,0.001681466541660124,0.003148569207574664,0.09989200736648235,0.09961002724734101,0.09999688739991673,0.6442201227167582,0.4417343703074681,0.7152784557126179,0.7545795850441259,0.3126432456351854,0.9929083375230264,0.570553042769149,0.3996498277796068,0.8054733825363845,4.840134879950498,1.848630552046125,12.07451598990977,0.003079726065998432,0.0029013401800879407,0.0032408518004206402,9.388756170347575,2.505156481785032,30.354928747841747,0.2007367751191186,0.10566131115962467,0.2947833797339303,0.3635494336206679,0.009972655758755337,0.9433421900531793,0.534235812322144,0.14730303544317216,0.8361429153845524,1.2106828265557767,0.6858059031184324,1.488630806082606,0.2698930085607156,0.00933832205188599,0.7965717468702722,0.2028925833653175,0.10795056032333632,0.2969644420548569,0.3228925833653175,0.22795056032333633,0.41696444205485683,0.3228925833653175,0.22795056032333633,0.41696444205485683,11.077639123457503,2.856644417845168,37.52594643809823,9.232846599900988,3.262894381573767,23.884737796698086,0.755671860733173,0.10525653902280899,2.5816177609307998,0.820805777564711,0.6918689440139648,0.9213141130303986,0.1120588115546949,0.03711020645450117,0.21922067884841628,0.06713541088059415,0.013996944632866163,0.16005547321955968,0.0019192556451903906,0.001330580286397833,0.0026342575630840842,2.618723560069925e-4,8.324593712598362e-5,5.391081512310783e-4,1.5673808465855395e-4,3.18703167097139e-5,3.86229564298591e-4,1.4272941298723514e-4,4.929447688183895e-6,4.2180868504255304e-4,1.4834433240261505e-4,5.27605045107428e-5,2.15761867642937e-4,3.880018330291885e-5,4.684473788500248e-7,1.3491775066397005e-4,0.6442201227167582,0.4417343703074681,0.7152784557126179,0.25436077674793084,0.17409951876974342,0.2827224822799511,0.10141910053531093,0.0020229972950536828,0.38440617550734407,4.5523122351892424e-4,4.525212172320745e-4,4.5806346413728127e-4,1,1,1,0,0,0,0.12,0.12,0.12,0.85,0.85,0.85,0.85,0.85,0.85,0.7,0.7,0.7,0.99,0.99,0.99,0.5,0.5,0.5
Delhi,0.004048679672048719,0.002799055624318408,0.005570952155050374,0.02509028227569763,0.022269244406046065,0.027955219844055988,0.6235468613551135,0.3624510528926919,0.7354311831101583,0.6330266459997914,0.199210676857749,0.9722471676322505,1.4121534947193168,0.9204800996987623,2.1920785978163444,4.888781130503824,2.2048382721539777,10.87477568322249,0.0017256300763426522,0.0015695744022220294,0.0018746365526366231,7.017630767348592,2.717707465942533,18.199750988904412,0.19975276499255495,0.105031878179698,0.294321278365851,0.4424777342342127,0.02383221517658174,0.9621838401894827,0.5018906141308075,0.13460911620109417,0.8342948212790166,0.8503242413540931,0.38846737299104406,1.4590416706783826,0.12945462941478142,0.003933994279972849,0.4587236113778074,0.2009607060459948,0.10618793031984385,0.2955283652694249,0.3209607060459948,0.22618793031984383,0.4155283652694249,0.3209607060459948,0.22618793031984383,0.4155283652694249,10.749407689949654,3.880516294507066,28.67033945115356,3.8769409739347873,1.5383410816509406,8.814065602853773,0.8258897328690574,0.2017502057194516,2.236504545002169,0.6596191810515996,0.49590135946012787,0.8011142061543504,0.19965744958949266,0.08685800895314787,0.3447403504618609,0.14072336935890775,0.04845989327966818,0.26657364627066826,0.002669596730222579,0.0016786428315011274,0.00384274734802083,8.087888220795657e-4,3.13985475864994e-4,0.0014918348762706273,5.702941197465666e-4,1.8167185715252078e-4,0.001164109035012021,1.8159555461227817e-4,5.517035544585516e-6,6.462167587995287e-4,8.16292124273493e-4,3.625520502252322e-4,0.0015160132731746562,5.905452607438088e-4,2.4498142496812633e-5,0.001232345464635637,0.6235468613551135,0.3624510528926919,0.7354311831101583,0.21817146989804825,0.12684629100603073,0.25736130794297274,0.15828166874683822,0.0073580255641894,0.5105424001435885,0.0013902741577838916,0.0013851638964609743,0.001395390233036578,1,1,1,0,0,0,0.12,0.12,0.12,0.85,0.85,0.85,0.85,0.85,0.85,0.7,0.7,0.7,0.99,0.99,0.99,0.5,0.5,0.5
Gujarat,0.001510290516357077,0.0010370771939036535,0.002063538706097287,0.06192677668135478,0.05959517584797113,0.06419940455933336,0.6078572785154004,0.4164702663521153,0.6568205457121609,0.8329664309131919,0.37088656222856514,0.9962671524591816,1.588287152532581,1.0570829842467098,2.397627617179924,16.196853042129465,4.7104670270478515,53.58409869561591,0.00443450556730974,0.0042654185664811085,0.004591710331633306,10.497232314824943,3.612924940938929,28.98326427714732,0.20097182495168717,0.10525927527590567,0.29476935919361974,0.28910659920631715,0.003830018662144968,0.9338810759594436,0.5423660309774406,0.1425530152573109,0.8377293027014503,1.39454649342983,1.1683182449858622,1.496106107637758,0.15168941316700393,0.010080344776358493,0.38126576753693575,0.204075978848804,0.1083189880918681,0.29787574505484116,0.32407597884880396,0.22831898809186812,0.4178757450548412,0.32407597884880396,0.22831898809186812,0.4178757450548412,11.849389283535565,3.9115076480340796,33.40958526651518,10.943578039087022,2.777239373690291,36.63889271091522,1.9868838830624536,0.28523992192449105,7.607821670667889,0.7590828702944373,0.5863419000923239,0.8906413635794561,0.10253123700245224,0.022310384855553388,0.22891579690623418,0.1383858927031104,0.039943889496765,0.2861263337355008,0.0011468682238687173,7.304610738230958e-4,0.0016369791689205266,1.5456512391982753e-4,3.208100027295183e-5,3.612010507103294e-4,2.0885716856852376e-4,5.6557685985102795e-5,4.56863985076065e-4,1.9407379878034366e-4,1.2925657357374322e-5,4.886384268168568e-4,3.672793274496575e-4,2.7775602116451295e-4,4.3999593091837054e-4,2.2625172197809442e-5,3.830618364666433e-7,8.337138898866738e-5,0.6078572785154004,0.4164702663521153,0.6568205457121609,0.31632484202251276,0.2164191047151069,0.34197678846638274,0.07581787946208687,0.0012798369083229506,0.3671081415656019,6.731454327893738e-4,6.709210951389268e-4,6.7526571610901e-4,1,1,1,0,0,0,0.12,0.12,0.12,0.85,0.85,0.85,0.85,0.85,0.85,0.7,0.7,0.7,0.99,0.99,0.99,0.5,0.5,0.5
Haryana,0.004085155206046936,0.002485993501239111,0.005871742942926333,0.015679139016084476,0.012260622679415932,0.019028029656976135,0.6347278755793077,0.4175845370323519,0.7042019797706088,0.7608487338849055,0.3001484816086467,0.9903647018221455,0.9454866413178094,0.5392694684738991,1.6360228796282745,2.111858538388962,0.9037225242069565,4.797114768260173,0.001740628466458829,0.0015677100801099642,0.0019167756710013293,9.781161678599267,1.8790752423504387,39.3839107133476,0.20068172807080156,0.10537150080561579,0.2953526049330128,0.35113229670332674,0.008267628485543252,0.9498052763857971,0.5345924191412236,0.14573120910165496,0.8366192410050445,1.1962929775340707,0.5975630888110605,1.4873326486402527,0.2794827524899693,0.011123703103748427,0.7813155558411746,0.20190016799732274,0.10658063312672325,0.29660050951233763,0.32190016799732274,0.22658063312672228,0.4166005095123376,0.32190016799732274,0.22658063312672228,0.4166005095123376,11.814685789836192,2.2150657699110177,48.748854856976386,2.8212952512997105,0.9422267678546901,7.132735148601794,0.38667991621556347,0.03924885268525629,1.3262769929227718,0.6398581465832494,0.43199482426296887,0.8194383376230076,0.2721617767815133,0.11121978720542537,0.47386257695519585,0.08798007663523731,0.012818037134334145,0.2285957227207801,0.0026139007810868386,0.0014107134190299525,0.00413141486496211,0.0011125939321965626,4.0146479672546477e-4,0.002162356178030659,0.00035866049276352813,4.621220064015564e-5,9.771918429168605e-4,3.256149705244601e-4,1.2918057736827937e-5,9.137140402287398e-4,3.4799012318732585e-4,1.38505691926083e-4,4.79974340719791e-4,8.144914932543903e-5,1.5384247388023118e-6,2.9471461461306125e-4,0.6347278755793077,0.4175845370323519,0.7042019797706088,0.2640653455598712,0.17430157507524213,0.29312332530710444,0.1012067788608211,0.002842323700688135,0.40760439873427695,7.778907699637832e-4,7.746342820970293e-4,7.81363862215601e-4,1,1,1,0,0,0,0.12,0.12,0.12,0.85,0.85,0.85,0.85,0.85,0.85,0.7,0.7,0.7,0.99,0.99,0.99,0.5,0.5,0.5
