,count,mean,std,min,25%,50%,75%,max
Inc,335.0,0.0010648243605379992,0.00010296169309642225,0.0008443462663910025,0.000988183067239894,0.0010644487634092633,0.0011383486131042934,0.0013972587043637032
PrevA,335.0,0.0009344110952618011,4.3079030951847976e-19,0.0009344110952618011,0.0009344110952618012,0.0009344110952618012,0.0009344110952618012,0.0009344110952618013
PrevS,335.0,0.00031147036508726706,2.6642876205327356e-18,0.00031147036508726695,0.000311470365087267,0.000311470365087267,0.000311470365087267,0.00031147036508726706
PrevC,335.0,0.000311470365087267,2.5037217853654985e-18,0.0003114703650872668,0.00031147036508726695,0.000311470365087267,0.00031147036508726706,0.0003114703650872673
MorUt,335.0,0.00016119767116172184,5.168613634104196e-05,6.406999596185876e-05,0.00012320766807411617,0.00015493107993177127,0.00019454440671706346,0.00030542544555257943
DelayPat,335.0,0.3613159868463646,0.018386079776806813,0.31268677411957624,0.3472586363416392,0.36024695189325207,0.3727512095227637,0.4071329763736828
DelaySys,335.0,0.39970719221357115,0.014226016983840127,0.3598088097952534,0.38859078019087845,0.3993441873684432,0.4098843527180178,0.43600011615190004
DelayTot,335.0,0.7610231790599359,0.0321880677753095,0.6724955839148297,0.7347676729672723,0.7598959066637174,0.783410570273426,0.8431330925255829
DropDieA,335.0,0.06081392759892624,0.03715586823646039,0.00018143184478874709,0.030271709233736562,0.06256506535508233,0.08825831614378696,0.15480635141353097
DropDieS,335.0,0.04147686354553726,0.007937735493877935,0.02628008044424255,0.034961451292380666,0.0420205859329698,0.04714092786542863,0.0642179134859859
DropDieC,335.0,0.04012414991942828,0.007667324827556109,0.02556229582286427,0.03386481457780573,0.0404521753942896,0.04560848391766134,0.06207784143185153
DropDieT,335.0,0.019777013683217312,0.0019739675496286677,0.015108956676037434,0.018272306621268036,0.01958043950245681,0.020942315385360774,0.02534617685418539
DropSelfCureA,335.0,0.16795018095911304,0.038562616866389975,0.08933457612716564,0.13472723302151876,0.17357541722122535,0.20262667061340814,0.23151353527213275
DropSelfCureS,335.0,0.05507237503720735,0.0126743535196715,0.029307434563654873,0.044151096319737834,0.05695016287440434,0.06651326139121982,0.07593563788781574
DropSelfCureC,335.0,0.05328508504804584,0.012283647661251845,0.028471762647149273,0.04265497570552011,0.05508858031643334,0.0642998681127814,0.07335817125359037
DropLTFU,335.0,0.15307650054425231,0.017679538099521868,0.11853295331799917,0.13922674546851038,0.15048657288800063,0.16493710280540283,0.23976628253250334
p_a2die,335.0,0.06081392759892624,0.03715586823646039,0.00018143184478874709,0.030271709233736562,0.06256506535508233,0.08825831614378696,0.15480635141353097
p_a2sc,335.0,0.16795018095911304,0.038562616866389975,0.08933457612716564,0.13472723302151876,0.17357541722122535,0.20262667061340814,0.23151353527213275
p_a2s,335.0,0.7712358914419608,0.04236874278615371,0.6820665005087199,0.7379399912630695,0.7669574826366417,0.8018269817650653,0.8862859596453724
p_s2die,335.0,0.053741285996841526,0.009591768848731261,0.034607754242260605,0.04588243777440311,0.05405082807327153,0.061499869197653115,0.07474810612478795
p_s2sc,335.0,0.07213253094906437,0.01881468518784762,0.0348664449261132,0.05627856864430736,0.07365256678868505,0.08943615494733821,0.10319331085028337
p_s2e,335.0,0.4921177639701927,0.046471225488990395,0.34109793379325665,0.4619060243973535,0.4947851381524453,0.5260525213187845,0.6027125028641674
p_s2tu,335.0,0.3086826890464266,0.040073446459985534,0.23037227851631983,0.2776405294768231,0.3072484831873792,0.33692439905547766,0.44029238146515826
p_s2ti,335.0,0.07332573003747477,0.007668120035289325,0.04891986872425651,0.06813198586593003,0.0740201769780638,0.07959020229932523,0.08697227236907461
p_c2die,335.0,0.10677520056835238,0.022362137795273223,0.06209078118580514,0.08861596860210252,0.10717721503391453,0.12237272587943311,0.1680559062039821
p_c2sc,335.0,0.14400660010443256,0.0430449917083028,0.06288785321617733,0.10699002803239012,0.1445245598534874,0.17991963301822922,0.2465070210643207
p_c2tu,335.0,0.6041632594559564,0.0363626809059905,0.5167765199248241,0.5774483525763087,0.6029453726177118,0.6283091098749809,0.711787428541968
p_c2ti,335.0,0.14505493987125864,0.02053044372096952,0.09740566001619623,0.1306681126361029,0.14305365231021946,0.15851994533058555,0.20535918207090328
p_tu2txs,335.0,0.7474989995998398,5.670607344198218e-15,0.7474989995998399,0.7474989995998399,0.7474989995998399,0.7474989995998399,0.7474989995998399
p_tu2txl,335.0,0.22302254235027352,3.613622327185139e-16,0.22302254235027347,0.22302254235027347,0.22302254235027347,0.22302254235027347,0.22302254235027347
p_tu2txd,335.0,0.02947845804988659,2.536484902735723e-16,0.02947845804988659,0.02947845804988659,0.02947845804988659,0.02947845804988659,0.02947845804988659
p_ti2txs,335.0,0.5148555102141144,0.07660837402079969,0.057079410053680904,0.49463570038632443,0.5369482207577361,0.5600191821776485,0.5822009026204299
p_ti2txl,335.0,0.431988009627494,0.0766071210218833,0.359805115073827,0.38610030798354866,0.410197415895872,0.45396001553387116,0.8855438518510811
p_ti2txd,335.0,0.05315648015839165,0.0045650692322294255,0.036771384353741464,0.05054671732426298,0.0543242932879818,0.056808954104308335,0.05885847809523803
CasOnset,335.0,0.7712358914419608,0.04236874278615371,0.6820665005087199,0.7379399912630695,0.7669574826366417,0.8018269817650653,0.8862859596453724
CasCSI,335.0,0.6746866528592161,0.04781830213200585,0.5772705422515052,0.6379963743666162,0.6692001895801504,0.7066087649019981,0.803729249471515
CasTxI,335.0,0.5812774178917419,0.05451802322583115,0.4722100261180876,0.5389910263971505,0.574346159087587,0.61914763128078,0.7243614497001575
CasTxS,335.0,0.40842390366427234,0.038137313305929774,0.3340295457713545,0.3799745299079789,0.4048827876191277,0.43491145638405937,0.5072562317325782
CDR,335.0,0.5812774178917419,0.05451802322583115,0.4722100261180876,0.5389910263971505,0.574346159087587,0.61914763128078,0.7243614497001575
