,count,mean,std,min,25%,50%,75%,max
Inc,1995.0,0.0018829189829392746,0.00021830215305386502,0.0012873181870964132,0.0017257786576107919,0.0018687009222346296,0.002008140387409637,0.002891927560842345
PrevA,1995.0,0.0010649763641003003,5.812704986408911e-17,0.0010649763641002999,0.0010649763641003,0.0010649763641003,0.0010649763641003,0.0010649763641003003
PrevS,1995.0,0.0004505669232732291,1.8165694956102547e-17,0.00045056692327322904,0.0004505669232732292,0.0004505669232732292,0.0004505669232732292,0.0004505669232732293
PrevC,1995.0,0.0003276850351078031,1.4040636202228977e-17,0.00032768503510780146,0.000327685035107803,0.00032768503510780304,0.0003276850351078031,0.0003276850351078046
MorUt,1995.0,0.00019650786844506224,6.0196966797587826e-05,7.974612623503182e-05,0.00014928516218119196,0.00018983704257546523,0.00023650271016149854,0.00035900720054738333
DelayPat,1995.0,0.2749928599001774,0.030073961046447904,0.17161585332505222,0.25589160263779365,0.2754605017165528,0.294098692124413,0.37876064222990435
DelaySys,1995.0,0.215301962007672,0.02544962278939489,0.1335076881311867,0.1988500084869848,0.21570829226585206,0.23185013289013667,0.29729485116668725
DelayTot,1995.0,0.49029482190784934,0.05525031278227361,0.30512354145623893,0.4540833229929355,0.49130409158854704,0.5264033910769228,0.6760554933965917
DropDieA,1995.0,0.041014658675124674,0.025186370061799083,3.6171266775491214e-05,0.020316157189819342,0.03885190975756373,0.059850482553677094,0.11382679050559927
DropDieS,1995.0,0.034958672317957046,0.007097571197810252,0.01889060205042634,0.02943378557465094,0.034690093118301506,0.03993129326004044,0.05802679449152676
DropDieC,1995.0,0.02471862557260444,0.005038281147744176,0.013499402757632952,0.020802878839313227,0.024547853529541593,0.028255969574968662,0.04109114176922584
DropDieT,1995.0,0.037224848184034716,0.004600494263809333,0.021854139255348314,0.03430260324506211,0.037367578662665206,0.04050688322532452,0.050622429945270345
DropSelfCureA,1995.0,0.11007582872078644,0.028438130274674546,0.04928022007446981,0.0871033014062015,0.11014701833536239,0.13285497081670372,0.17858226280376485
DropSelfCureS,1995.0,0.04598706014964654,0.011872973171945043,0.02063911394142926,0.03637173346452481,0.04600927825706638,0.05553671061755977,0.07443357098581856
DropSelfCureC,1995.0,0.032521204329435824,0.008432794585703389,0.014676690976145015,0.025742539973505875,0.03251047707429882,0.039341232786898536,0.053098247904073415
DropLTFU,1995.0,0.0344401791073595,0.043611211049238076,-0.07919182129407494,0.01598457018372927,0.02010144404374814,0.026256951527302088,0.3022273688549709
p_a2die,1995.0,0.041014658675124674,0.025186370061799083,3.6171266775491214e-05,0.020316157189819342,0.03885190975756373,0.059850482553677094,0.11382679050559927
p_a2sc,1995.0,0.11007582872078644,0.028438130274674546,0.04928022007446981,0.0871033014062015,0.11014701833536239,0.13285497081670372,0.17858226280376485
p_a2s,1995.0,0.848909512604089,0.034294467168777404,0.7602460553007186,0.8244423714862241,0.8483789464072309,0.8726162999051532,0.9491461331013609
p_s2die,1995.0,0.04125883869101886,0.008571675446068815,0.021425232673756744,0.034474912655434446,0.04113758533661634,0.04742572737264558,0.06855893821229055
p_s2sc,1995.0,0.054650646350017595,0.015615043890952904,0.021899404592299034,0.04195489870503799,0.05420365746600173,0.06698033203298376,0.09600206437599501
p_s2e,1995.0,0.3622783167489102,0.12101212005318208,0.06334357984912309,0.27338134370934486,0.3645495483020049,0.4512203305095687,0.6565022142807228
p_s2tu,1995.0,0.34507645589018443,0.0759895068297242,0.1640023034610244,0.2879655902095671,0.3447597505514301,0.3992816222462011,0.5583730500912452
p_s2ti,1995.0,0.19673574231986896,0.0700918899440229,0.044949699248063274,0.14265846500141324,0.18846724193296885,0.24264312907715024,0.3959837486355646
p_c2die,1995.0,0.09215409671510856,0.04476330959963592,0.03261362088663998,0.06324741472494277,0.08137977830505368,0.10804547659188782,0.4857882044146864
p_c2sc,1995.0,0.12207215880381056,0.06518029865361534,0.030127188643317065,0.08055302660114023,0.10682572491518552,0.1445682497372751,0.6502473947586336
p_c2tu,1995.0,0.5057255950043914,0.08970686285400462,0.0008193462507406444,0.45508342937713736,0.5162586383967321,0.5668324600087924,0.7395560670474766
p_c2ti,1995.0,0.2800481494766895,0.06961968310132599,0.0005885322037408465,0.23260874736408094,0.27442986625071236,0.3198458822486507,0.5545622885183967
p_tu2txs,1995.0,0.8930959950176867,4.6418957711557577e-14,0.8930959950176864,0.8930959950176864,0.8930959950176864,0.8930959950176864,0.8930959950176864
p_tu2txl,1995.0,0.0600604878922453,1.1452045488048745e-15,0.060060487892245315,0.060060487892245315,0.060060487892245315,0.060060487892245315,0.060060487892245315
p_tu2txd,1995.0,0.04684351709006828,5.968944921043588e-16,0.04684351709006829,0.04684351709006829,0.04684351709006829,0.04684351709006829,0.04684351709006829
p_ti2txs,1995.0,0.9253343669606225,0.12204336669270145,0.2858246917773101,0.9493001794003499,0.9595835614998135,0.9760246182825563,1.395706325332348
p_ti2txl,1995.0,0.00960914956012871,0.13548497809730997,-0.4727658052973416,-0.05291616839101674,-0.03357884767661813,-0.008052130447729598,0.6991836008264779
p_ti2txd,1995.0,0.06505648347924874,0.01781438540530912,0.014991707396211959,0.05219948866222432,0.06629255471093212,0.08026311559374597,0.09364410022298283
CasOnset,1995.0,0.848909512604089,0.034294467168777404,0.7602460553007186,0.8244423714862241,0.8483789464072309,0.8726162999051532,0.9491461331013609
CasCSI,1995.0,0.7679637801364854,0.04372732555842042,0.6451843222961405,0.7357721229978703,0.767917446834352,0.799856831923034,0.8923251948094842
CasTxI,1995.0,0.710723950234445,0.05130116235042459,0.5583834179501243,0.6722017850082921,0.7103086052057127,0.7481446522369339,0.855632206809839
