,count,mean,std,min,25%,50%,75%,max
Inc,1764.0,0.0028702240463737965,0.00026436730798921264,0.002097783162849431,0.0026864408296960406,0.0028715311654907193,0.003055420569532074,0.0037903784869993498
PrevA,1764.0,0.0020194323903530995,2.2991603875073153e-17,0.0020194323903531,0.0020194323903531,0.0020194323903531,0.0020194323903531,0.0020194323903531
PrevS,1764.0,0.0009179238137968647,1.1170537392553678e-17,0.0009179238137968646,0.0009179238137968648,0.0009179238137968648,0.0009179238137968648,0.000917923813796865
PrevC,1764.0,0.00018358476275937303,2.5781101021064565e-18,0.00018358476275937276,0.00018358476275937298,0.000183584762759373,0.00018358476275937306,0.00018358476275937347
MorUt,1764.0,0.0003173361270372934,0.00010911876519364596,0.00011735362204403083,0.00023228038808307058,0.0003047012274166884,0.00039393347975009963,0.0006152398217871367
DelayPat,1764.0,0.3768856269123725,0.027520258643546656,0.2980571648526989,0.35798579653967616,0.3763108679822188,0.394685939379366,0.4694256398531325
DelaySys,1764.0,0.08598538318819533,0.0065736618720994965,0.06816479725719951,0.08145240745423948,0.085970045855332,0.09042882189486284,0.10615246745939279
DelayTot,1764.0,0.46287101010056775,0.033772336607287755,0.3663889508868893,0.43972953571756934,0.4624892406678296,0.4850101840049965,0.5755781073125253
DropDieA,1764.0,0.05084361109496149,0.030083443034505615,5.416543858760365e-06,0.02639586269287674,0.049571456678000225,0.07383542913335403,0.13433334096843796
DropDieS,1764.0,0.04573415375220389,0.008800981526996966,0.026806144656177557,0.0388500174856717,0.045601747495036815,0.05220767542035027,0.07108706277220851
DropDieC,1764.0,0.009062562312206472,0.0017392505792322979,0.005323906845144033,0.007701131313186868,0.00903989293372009,0.010344545199093157,0.014021867124715714
DropDieT,1764.0,0.03597773808705712,0.004511810995965804,0.023950977369548664,0.03272892162356128,0.03594545675172027,0.03895989313163383,0.05107793964584976
DropSelfCureA,1764.0,0.1345637204638178,0.03325584329296257,0.06518200556871902,0.10686030208518546,0.13446963981463622,0.16285946339824012,0.208688631342288
DropSelfCureS,1764.0,0.06012035820642384,0.014864498853699008,0.029182327668564847,0.04773276397233948,0.060083446977378004,0.07280233784038717,0.0931469931735732
DropSelfCureC,1764.0,0.01191349973643953,0.002941587869102277,0.005803276327554548,0.009456846628638197,0.011902803010846594,0.014440691943886873,0.018476963303991803
DropLTFU,1764.0,0.1335343938914112,0.021791241883439727,0.09351541287213229,0.11977027016063788,0.13036448520486094,0.14236824984456556,0.2948137427879859
p_a2die,1764.0,0.05084361109496149,0.030083443034505615,5.416543858760365e-06,0.02639586269287674,0.049571456678000225,0.07383542913335403,0.13433334096843796
p_a2sc,1764.0,0.1345637204638178,0.03325584329296257,0.06518200556871902,0.10686030208518546,0.13446963981463622,0.16285946339824012,0.208688631342288
p_a2s,1764.0,0.8145926684412208,0.039896075450262886,0.7077640380401329,0.7853299760857381,0.8134957542536361,0.8426252524650746,0.9171728268917199
p_s2die,1764.0,0.056240754105446246,0.010930933227599873,0.032805987808064756,0.0474269760411069,0.056211907051593235,0.06450492873891284,0.0841329859618623
p_s2sc,1764.0,0.07458317113832855,0.020894897213107673,0.03383917621122074,0.056968127630421514,0.07400447525359455,0.0920638177694907,0.1209090553184366
p_s2e,1764.0,0.3910232945123222,0.07816226534758287,0.1289607115375862,0.3358837562460649,0.3893441047325925,0.4459805091927913,0.6036464555210427
