,count,mean,std,min,25%,50%,75%,max
Inc,1964.0,0.0025677505053675856,0.00048155406414558753,0.0016620649960539687,0.0022523847002382576,0.002459990601499238,0.0027509567606434884,0.0062122078026611485
PrevA,1964.0,0.0016435886239361994,1.691850916564519e-17,0.0016435886239361999,0.0016435886239362,0.0016435886239362,0.0016435886239362,0.0016435886239362003
PrevS,1964.0,0.0003361885821687848,9.542234854842437e-18,0.0003361885821687847,0.0003361885821687848,0.0003361885821687848,0.0003361885821687848,0.00033618858216878493
PrevC,1964.0,0.00011206286072292827,3.497334611419381e-18,0.00011206286072292814,0.00011206286072292826,0.00011206286072292829,0.00011206286072292831,0.00011206286072292844
MorUt,1964.0,0.00018962782006852567,8.151312929329922e-05,4.6246731554069666e-05,0.0001225367501809224,0.00018070389953714073,0.0002458430607443367,0.000413561731725404
DelayPat,1964.0,0.15728846799378662,0.025242608219345423,0.059144783751058035,0.14254291057454269,0.16159181019176594,0.17514640592295858,0.22020039157805094
DelaySys,1964.0,0.05531420266616305,0.009266613971088413,0.020150913314047048,0.049911008702816055,0.05689120711984559,0.06199850447822584,0.0775131489430543
DelayTot,1964.0,0.21260267065994967,0.03449408198693288,0.07929569706510509,0.1925466794182579,0.21824298321651608,0.23724815467686886,0.2977135405211052
DropDieA,1964.0,0.046781858243417226,0.029081373808668393,1.0893592707651174e-05,0.023147074330195368,0.04387535106319518,0.06791944319074081,0.14054276147160372
DropDieS,1964.0,0.019296492659032046,0.004521508930989242,0.006793849757619804,0.01585273894902101,0.019085982310984156,0.02253402308397456,0.03490552408524865
DropDieC,1964.0,0.006405644208785959,0.0015003427345558471,0.002258870231355241,0.005262010994882631,0.006339425163238604,0.007477755466699656,0.01158691209984655
DropDieT,1964.0,0.02502393394260331,0.003498701783653387,0.01187080668929169,0.022733843548761005,0.02526350996612696,0.027565176330561585,0.03392161478896256
DropSelfCureA,1964.0,0.12544994447449104,0.03552986636413594,0.038660294689661506,0.09667316607954034,0.12490191172675089,0.15361422661049348,0.2131410398900323
DropSelfCureS,1964.0,0.02547354394565723,0.007204118261433899,0.007882882723914535,0.019618332890112247,0.02537332360125419,0.031181040101655073,0.04322625188460664
DropSelfCureC,1964.0,0.008456193548343897,0.002390899002242235,0.002621419147417685,0.0065134615132514,0.008422566332963195,0.010352443195331067,0.01435287931892132
